p,K,n_params,BIC_train
1,0,6,18.902499089564564
1,1,10,23.188037693224075
1,2,14,32.10589528824867
1,3,18,45.842996053782144
2,0,7,22.528489601174424
2,1,11,27.356594832036016
2,2,15,35.878849119464874
2,3,19,49.31614784786332
3,0,8,21.42721555178352
3,1,12,28.067024667859293
3,2,16,38.453963678825616
3,3,20,50.53270378380361
4,0,9,24.67377404510937
4,1,13,31.953196539686978
4,2,17,42.64405750153391
4,3,21,54.927081829114826
