Tarih,actual,B5_PLS,B5_PCA,AR1
2018-01-01,9.8,10.094088204005493,,
2018-02-01,10.0,9.82623869360074,,
2018-03-01,10.0,9.727138746153004,,
2018-04-01,10.2,9.944837290922777,,
2018-05-01,10.6,10.030468590856787,,
2018-06-01,10.7,10.195255253827815,,
2018-07-01,10.8,10.576793379113628,,
2018-08-01,11.2,10.678741288990551,,
2018-09-01,11.5,10.857844906408445,,
2018-10-01,11.6,11.234902618493503,,
2018-11-01,12.2,11.514695700317564,,
2018-12-01,12.7,11.654347047348944,,
2019-01-01,13.6,12.315056205418186,,
2019-02-01,13.8,12.8140229382127,,
2019-03-01,13.9,13.639726419934139,,
2019-04-01,13.8,13.810691474221708,,
2019-05-01,13.7,13.877665037891127,,
2019-06-01,13.7,13.772538786172115,,
2019-07-01,13.9,13.706111894932366,,
2019-08-01,14.1,13.658821222676007,,
2019-09-01,14.1,13.776696707431471,,
2019-10-01,13.5,14.020947770609867,,
2019-11-01,13.3,14.044697671921545,,
2019-12-01,13.4,13.411687062144377,,
2020-01-01,13.0,13.115458019257295,,
2020-02-01,12.6,13.229632976983472,,
2020-03-01,13.0,13.233330924244184,,
2020-04-01,13.5,12.893427684950176,,
2020-05-01,13.6,13.376261297201932,,
2020-06-01,13.7,13.568249662131565,,
2020-07-01,14.1,13.402983452861951,,
2020-08-01,12.9,13.43946676777503,,
2020-09-01,12.6,13.961090995417557,,
2020-10-01,13.1,12.6129211004899,,
2020-11-01,13.0,12.322380671359177,,
2020-12-01,12.6,12.934818770077595,,
2021-01-01,12.3,12.869407644087033,,
2021-02-01,13.2,12.485425438764892,,
2021-03-01,12.9,12.092477917379266,,
2021-04-01,13.3,12.558010236191425,,
2021-05-01,13.4,12.206296695557885,,
2021-06-01,11.0,12.607176887787377,,
2021-07-01,11.6,12.597091776169796,,
2021-08-01,12.0,11.168328760877195,,
2021-09-01,11.3,11.679239715093422,,
2021-10-01,11.0,11.64992669179673,,
2021-11-01,11.2,10.880111292202535,,
2021-12-01,11.0,10.48373476897882,,
2022-01-01,11.3,10.622513288686285,,
2022-02-01,10.6,10.506776194834151,,
2022-03-01,11.2,11.341145074122016,,
2022-04-01,10.8,10.76412168083139,,
2022-05-01,10.8,11.251253068382782,,
2022-06-01,10.2,10.856613681174405,,
2022-07-01,10.2,10.888144132866778,,
2022-08-01,9.8,10.292574711531215,,
2022-09-01,10.1,10.319186686833438,,
2022-10-01,10.3,9.911879853751032,,
2022-11-01,10.1,10.26846325504175,,
2022-12-01,10.4,10.392880062418758,,
2023-01-01,9.7,10.15849536662696,,
2023-02-01,10.0,10.411338696586524,,
2023-03-01,10.1,9.726520870650422,,
2023-04-01,10.1,10.016944078635813,,
2023-05-01,9.5,10.15991696961224,,
2023-06-01,9.3,10.149442453658738,,
2023-07-01,9.4,9.538848395729827,,
2023-08-01,9.2,9.368702275298222,,
2023-09-01,9.0,9.441479740904349,,
2023-10-01,8.5,9.238825827539381,,
2023-11-01,8.9,9.070462113434187,,
2023-12-01,8.9,8.570114819475982,,
2024-01-01,9.2,8.983303479530935,,
2024-02-01,8.6,8.958325992414903,,
2024-03-01,8.8,9.266448701080863,,
2024-04-01,8.6,8.686645267646112,,
2024-05-01,8.4,8.881487982663733,,
2024-06-01,9.1,8.646364729458911,,
2024-07-01,9.0,8.515860030016706,,
2024-08-01,8.5,9.186528521510569,,
2024-09-01,8.6,9.066536651036802,,
2024-10-01,8.7,8.581342660630796,,
2024-11-01,8.4,8.682386936128058,,
2024-12-01,8.7,8.770460996972904,,
2025-01-01,8.5,8.47831408003324,,
2025-02-01,8.2,8.759221909361703,,
2025-03-01,8.0,8.57933930679741,,
2025-04-01,8.6,8.263507782175143,,
2025-05-01,8.4,8.083811686783115,,
2025-06-01,8.5,8.663158460105784,,
2025-07-01,8.1,8.456624580970328,,
2025-08-01,8.5,8.588464284863631,,
2025-09-01,8.6,8.156326547265719,,
2025-10-01,8.5,8.554844699022718,,
2025-11-01,8.6,8.668009368349173,,
2025-12-01,7.9,8.571274852652888,,
