p,K,n_params,BIC_train
1,0,7,47.52838359658727
1,1,11,58.718666283642555
1,2,15,73.46338630533185
1,3,19,85.98155354461682
2,0,8,49.04032957569562
2,1,12,59.295549806999915
2,2,16,74.91159388102805
2,3,20,86.33166685920456
3,0,9,42.16711536770629
3,1,13,54.0094581895619
3,2,17,67.91623137642964
3,3,21,81.13578026990028
4,0,10,44.8655741925826
4,1,14,56.222059170851516
4,2,18,69.84327287841862
4,3,22,82.77122979154417
