param,model,coef,se,t,p
phi1,VPC3,0.9878548227927825,0.014283729824535693,69.15944469181345,0.0
lambda_a0,VPC3,0.34977343270390715,0.07526167845492181,4.647430669692079,3.360949991693235e-06
lambda_a1,VPC3,-6.302882536528993e-05,0.08140869863709572,-0.0007742271577913347,0.9993822561659594
lambda_a2,VPC3,-4.5164639636235854e-05,0.13701233852051506,-0.0003296392144235483,0.9997369859649395
sig_u,VPC3,0.07423758562236615,0.023151222136954613,3.2066378691890347,0.0013429593532206046
sig_pca,VPC3,0.9371953018296952,0.026531299671765016,35.32413841102069,2.5022627983130233e-273
sig_eta,VPC3,0.1835845698330092,0.017747616686320317,10.344181592253697,4.446995331602457e-25
phi1,VPC3 + COVID,0.9878548227927825,0.014283729824535693,69.15944469181345,0.0
lambda_a0,VPC3 + COVID,0.34977343270390715,0.07526167845492181,4.647430669692079,3.360949991693235e-06
lambda_a1,VPC3 + COVID,-6.302882536528993e-05,0.08140869863709572,-0.0007742271577913347,0.9993822561659594
lambda_a2,VPC3 + COVID,-4.5164639636235854e-05,0.13701233852051506,-0.0003296392144235483,0.9997369859649395
sig_u,VPC3 + COVID,0.07423758562236615,0.023151222136954613,3.2066378691890347,0.0013429593532206046
sig_pca,VPC3 + COVID,0.9371953018296952,0.026531299671765016,35.32413841102069,2.5022627983130233e-273
sig_eta,VPC3 + COVID,0.1835845698330092,0.017747616686320317,10.344181592253697,4.446995331602457e-25
phi1,VPC3+VPC4 (headline),0.9879621201883683,0.014591801594537112,67.7066580015892,0.0
lambda_a0,VPC3+VPC4 (headline),0.3491579946362599,0.5240544168050757,0.6662628601909689,0.5052431001625644
lambda_a1,VPC3+VPC4 (headline),0.0003025373921046862,0.2812866892511792,0.001075548199276969,0.999141836862852
lambda_a2,VPC3+VPC4 (headline),0.0001973615147488736,0.2898815009019664,0.0006808351486203265,0.9994567721884315
lambda_b0,VPC3+VPC4 (headline),0.15250423104956598,0.6361365966400268,0.23973503781274225,0.8105356706254914
lambda_b1,VPC3+VPC4 (headline),0.0001709958065345102,0.6808397772458467,0.000251154254274372,0.9997996079002412
lambda_b2,VPC3+VPC4 (headline),0.0001587191028796232,0.608131634488877,0.00026099464964197033,0.9997917564009627
sig_u,VPC3+VPC4 (headline),0.07524219940526579,0.025259650314935538,2.978750634595149,0.002894262166349897
sig_pca,VPC3+VPC4 (headline),0.9364977974977001,0.051343193465404405,18.2399600470649,2.486400265745811e-74
sig_pcb,VPC3+VPC4 (headline),0.9880237986498629,0.03090480605341126,31.96990775293363,2.857644016128184e-224
sig_eta,VPC3+VPC4 (headline),0.18292834613365047,0.020017522388450826,9.13841096734287,6.337668063471658e-20
