Tarih,AR(1) benchmark,"no-Trends SS  (filtering, no Google)",no-Trends SS  + COVID dummy,VPC3+VPC4_nocov  (filtering + Google),actual
2018-01-01,10.114434740322814,10.085628712600904,10.085629829112769,10.23631836145437,9.8
2018-02-01,9.918132778741294,9.90030838323693,9.900308383426744,10.016385913886031,10.0
2018-03-01,9.819870318233914,9.80763178160495,9.807631783887906,9.899451501771283,10.0
2018-04-01,10.016114862069928,9.99286956398014,9.992869563978312,10.107302261806336,10.2
2018-05-01,10.01603774111846,9.992942222071813,9.992942222069429,10.140844910961327,10.6
2018-06-01,10.212154009646628,10.178422823448324,10.178422823448084,10.273485695334756,10.7
2018-07-01,10.603921437523203,10.550822643629896,10.550822643635684,10.659986350741123,10.8
2018-08-01,10.701914822935343,10.645412344269682,10.645412344266388,10.822551965525244,11.2
2018-09-01,10.799973696751492,10.74053970060024,10.740539700591729,10.99368461954922,11.5
2018-10-01,11.192358204951278,11.121775323805371,11.121775323816136,11.315963997146772,11.6
2018-11-01,11.487636847515247,11.414718079190653,11.414718079187734,11.648120570607762,12.2
2018-12-01,11.586405278635471,11.515868866831012,11.515868866847544,11.830327633313573,12.7
2019-01-01,12.17888634000425,12.12132602841604,12.121326028408138,12.587729298454706,13.6
2019-02-01,12.67535171657197,12.65146932303743,12.65146932308928,12.935474214022848,13.8
2019-03-01,13.570498264630857,13.599996969554836,13.59999696993178,13.745149219934245,13.9
2019-04-01,13.771081711747687,13.79999661160052,13.7999966117148,13.9927065044404,13.8
2019-05-01,13.871635666102303,13.899996808768329,13.899996808893656,14.117692157566037,13.7
2019-06-01,13.771842210771585,13.799997705488948,13.79999770534906,13.887048294846442,13.7
2019-07-01,13.672035526772293,13.69929714359032,13.699297143590307,13.766508172717998,13.9
2019-08-01,13.672532925933364,13.699999687884572,13.699999687757074,13.733910119424795,14.1
2019-09-01,13.872855266829593,13.899999034775291,13.899999034954256,13.850043092723888,14.1
2019-10-01,14.073301869805324,14.099999227518742,14.099999227523044,14.068475475181732,13.5
2019-11-01,14.07362211963407,14.09999837536516,14.09999837533939,14.061429799969432,13.3
2019-12-01,13.471959207165114,13.499368177551156,13.49936817755114,13.401032522695592,13.4
2020-01-01,13.272644941577775,13.299413069878106,13.299413069878094,13.097228853083733,13.0
2020-02-01,13.398835474271577,13.399398114462825,13.399398114462802,13.215528489278146,12.6
2020-03-01,12.973683782867802,12.97383649021324,12.973836495983084,13.045648787431448,13.0
2020-04-01,12.575967115885836,12.56326490768404,12.563264907763816,13.0102403169752,13.5
2020-05-01,12.972768973267677,12.971819363680256,12.971819363722464,13.530332696741723,13.6
2020-06-01,13.497764148457197,13.49160015443779,12.957724371267696,13.682464984293084,13.7
2020-07-01,13.599359885335526,13.596839764549928,13.062940447456366,13.906535927862535,14.1
2020-08-01,13.670399840494106,13.699994452608436,13.16857614473782,13.950909961615638,12.9
2020-09-01,14.069965604889076,14.099290952559146,13.594196369035808,14.142417818841231,12.6
2020-10-01,12.867902180510637,12.860828379583804,12.335815757625868,12.888062701756184,13.1
2020-11-01,12.57106583847976,12.558710795058358,12.039423166727738,12.51702934612782,13.0
2020-12-01,13.0654596370516,13.063032355976503,12.534403154810326,13.057735193602758,12.6
2021-01-01,12.966628401934168,12.961950117733112,12.435298446229606,12.973365489875375,12.3
2021-02-01,12.57067075637579,12.559048590965704,12.03976459938023,12.626932911312958,13.2
2021-03-01,12.275031396166776,12.260788986955944,11.747417683327807,12.283664979710933,12.9
2021-04-01,13.161244174086736,13.15966242657602,12.628025279695231,12.69352211956515,13.3
2021-05-01,12.864222983761046,12.85650200881541,12.330052827825323,12.359906926923388,13.4
2021-06-01,13.26026047912401,13.260966166332818,12.727938237871644,12.758004862540504,11.0
2021-07-01,13.360020215596764,13.36365122838099,12.829676873309644,12.889488842989874,11.6
2021-08-01,11.0015405668212,10.98789630553078,10.501300309033144,11.336285864510817,12.0
2021-09-01,11.578325539166151,11.562013376573724,11.058554847343965,11.96796613518616,11.3
2021-10-01,11.964082918706588,11.947037187542042,11.431390241004168,12.121720264353462,11.0
2021-11-01,11.289364227095833,11.274501123427209,10.779883506559534,11.359618196447816,11.2
2021-12-01,11.00156922258493,10.988276791938423,10.501766386508024,10.986007199714274,11.0
2022-01-01,11.193386519771742,11.179136826562525,10.687120445580192,11.11379900992931,11.3
2022-02-01,11.001589870420329,10.988471844748732,10.502376471892848,11.01810259812963,10.6
2022-03-01,11.289240914411014,11.274704039523998,11.274224216521445,11.170320163874868,11.2
2022-04-01,10.618492472693667,10.607686906470088,10.6078326195704,10.64351311602425,10.8
2022-05-01,11.19261585855842,11.178490132088475,11.178080893387987,11.136090962509614,10.8
2022-06-01,10.809972610917155,10.798080329543106,10.79804366122651,10.833657736006726,10.2
2022-07-01,10.809926702354296,10.798093216987091,10.798056795787588,10.735992696090063,10.2
2022-08-01,10.23616585339326,10.227891634648426,10.22842584648865,10.172860694389056,9.8
2022-09-01,10.235944620321437,10.227706806402573,10.228237507493166,10.270485345008202,10.1
2022-10-01,9.852421551254984,9.846402987596733,9.8472921829399,9.910446494161013,10.3
2022-11-01,10.139991292548936,10.132349073335426,10.132968923658089,10.249140428129447,10.1
2022-12-01,10.33122001982758,10.322412085846672,10.322846769443686,10.43366062216452,10.4
2023-01-01,10.139673467619843,10.13210868336324,10.132731123479598,10.255227083356557,9.7
2023-02-01,10.426613538783212,10.417167533950868,10.41750196737322,10.447340862120049,10.0
2023-03-01,9.756967872049124,9.75165459438846,9.75265914806898,9.766780183837362,10.1
2023-04-01,10.044283332022603,10.03735253715961,10.038084844103542,9.995878792401276,10.1
2023-05-01,10.139694197147293,10.132182031708286,10.132814912353346,10.12780587089716,9.5
2023-06-01,10.139522270506248,10.13198063930563,10.132609598511833,10.080323789796124,9.3
2023-07-01,9.564745334548473,9.560680457503878,9.56186958676829,9.54785794349428,9.4
2023-08-01,9.37164682833608,9.368606335945586,9.36994376973664,9.438844030361084,9.2
2023-09-01,9.467429441345091,9.46399612540921,9.46524930321752,9.52344321075126,9.0
2023-10-01,9.274031643651083,9.27155299651723,9.272944676402876,9.274605422872815,8.5
2023-11-01,9.07990932005982,9.078226589903617,9.079736534696297,9.053484326933493,8.9
2023-12-01,8.593214211888558,8.592420466642533,8.5941741795111,8.558435699850541,8.9
2024-01-01,8.9824460995798,8.981239886066774,8.982812732389633,8.97855106173225,9.2
2024-02-01,8.9815610816266,8.9804473494073,8.981996133129417,8.972000246318563,8.6
2024-03-01,9.271476421312816,9.269229849175815,9.270580396750862,9.27003372354673,8.8
2024-04-01,8.690007058341411,8.689844751614382,8.69156041554949,8.749492694458587,8.6
2024-05-01,8.88377384366396,8.883257594006919,8.884853281085608,9.026778071166394,8.4
2024-06-01,8.688338512857696,8.68843838109235,8.690105551575598,8.675962774095394,9.1
2024-07-01,8.492040484062986,8.492505751085295,8.494216652398707,8.61078940042228,9.0
2024-08-01,9.171925713671389,9.171768538572495,9.173142459811311,9.188287190472929,8.5
2024-09-01,9.07453592159041,9.07501701294937,9.076459121018464,9.111448743023924,8.6
2024-10-01,8.590521836379908,8.591356140258867,8.593086348045532,8.626344112327434,8.7
2024-11-01,8.68701239195412,8.687647583807296,8.689305169116302,8.716920437611186,8.4
2024-12-01,8.783334518558322,8.783773720204827,8.785359783102663,8.825927139440271,8.7
2025-01-01,8.490365973165652,8.491777931345041,8.493471532519445,8.499915669850635,8.5
2025-02-01,8.782106137538493,8.782610350148301,8.784177108980787,8.70544399285024,8.2
2025-03-01,8.58663219415793,8.587980174045835,8.589612363002903,8.545986891663068,8.0
2025-04-01,8.292557150647319,8.29466244490881,8.296372119172416,8.27143126556773,8.6
2025-05-01,8.095018925146963,8.0972367253617,8.098997235328815,8.160877458203888,8.4
2025-06-01,8.682459988120645,8.68364386276415,8.685198545054693,8.664548926367655,8.5
2025-07-01,8.485544119088097,8.488784675595697,8.490404307786566,8.478189652737923,8.1
2025-08-01,8.582807795506016,8.58514489291488,8.586708612093439,8.67955156789009,8.5
2025-09-01,8.191904782400595,8.194765995950416,8.196487135935643,8.152317514436362,8.6
2025-10-01,8.582427591837211,8.584419692127852,8.585964844346481,8.489791484278998,8.5
2025-11-01,8.679467332472017,8.680589086860422,8.682064453571032,8.63532202716029,8.6
2025-12-01,8.581321605166414,8.583015862722835,8.584527842090298,8.590664482351665,7.9
