date,işsizlik maaşı,işsizlik ödeneği,işsizlik başvurusu,işsizlik ödeneği nasıl alınır,işkur başvuru,sgk işten çıkış,işten çıkarılma tazminatı,kıdem tazminatı hesaplama,ihbar tazminatı,iş ilanı,iş arama,iş başvurusu,işkur,özgeçmiş,kariyer.net,mülakat soruları,ek iş,memur alımı,fabrika işçi alımı,güvenlik görevlisi alımı,işsizlik
2010-01-01,15.74703955656337,0.5,0.21212121212121213,0.0,1.3122532963802809,0.1375,0.0,3.1875,1.925,22.308306038464774,2.0,85.29646426471825,236.20559334845055,3.107142857142857,488.1582262534645,1.28125,1.8,57.659614537921435,0.0,0.29,31.16601578903167
2010-02-01,14.43478626018309,0.5,0.21212121212121213,0.0,2.6245065927605618,0.1,0.0,3.375,2.075,23.620559334845055,1.92,98.41899722852106,218.7088827300468,3.2857142857142856,498.6562526245067,1.65625,1.72,39.765251405463054,0.0,0.25,27.88538254808097
2010-03-01,15.74703955656337,0.4166666666666667,0.2727272727272727,0.0,2.6245065927605618,0.15,0.0,3.5,2.1,22.308306038464774,1.8,98.41899722852106,209.96052742084495,3.5714285714285716,524.9013185521123,1.03125,1.68,41.75351397573621,0.0,0.36,31.16601578903167
2010-04-01,14.43478626018309,0.25,0.18181818181818182,0.0,2.6245065927605618,0.075,0.0,3.0,1.9,20.996052742084494,1.4,83.98421096833798,183.7154614932393,3.2142857142857144,498.6562526245067,0.875,1.76,49.70656425682882,0.0,0.37,26.24506592760562
2010-05-01,13.12253296380281,0.3333333333333333,0.2727272727272727,0.0,2.6245065927605618,0.125,0.0,3.125,1.75,19.683799445704214,1.44,80.04745107919713,183.7154614932393,3.2857142857142856,440.91710758377434,1.75,1.36,53.68308939737513,0.0,0.28,26.24506592760562
2010-06-01,11.810279667422527,0.4166666666666667,0.21212121212121213,0.0,2.6245065927605618,0.1125,0.0,2.8125,1.7,22.308306038464774,1.56,77.42294448643656,209.96052742084495,3.2142857142857144,372.67993617199977,1.0,1.32,29.823938554097293,0.0,0.22,24.604749307130266
2010-07-01,14.43478626018309,0.4166666666666667,0.24242424242424243,0.0,1.3122532963802809,0.2125,0.0,3.5,1.975,23.620559334845055,1.52,87.92097085747882,218.7088827300468,3.3214285714285716,409.42302847064764,1.15625,1.44,49.70656425682882,0.0,0.32,24.604749307130266
2010-08-01,11.810279667422527,0.25,0.18181818181818182,0.0,1.3122532963802809,0.0875,0.0,3.375,1.975,24.932812631225335,1.56,95.7944906357605,192.4638168024412,3.2142857142857144,362.1819098009575,1.03125,1.56,53.68308939737513,0.0,0.18,21.324116066179563
2010-09-01,13.12253296380281,0.4166666666666667,0.15151515151515152,0.0,2.6245065927605618,0.1,0.0,3.25,1.7,24.932812631225335,1.54,101.04350382128163,218.7088827300468,3.25,356.9328966154364,0.96875,1.96,31.812201124370446,0.0,0.17,24.604749307130266
2010-10-01,13.12253296380281,0.3333333333333333,0.15151515151515152,0.0,2.6245065927605618,0.0875,0.0,3.0,1.75,24.932812631225335,1.42,87.92097085747882,332.4375017496711,3.5357142857142856,372.67993617199977,1.875,2.04,43.74177654600936,0.0,0.27,26.24506592760562
2010-11-01,13.12253296380281,0.3333333333333333,0.24242424242424243,0.0,1.3122532963802809,0.1125,0.0,3.0625,1.5,19.683799445704214,1.12,76.11069119005629,244.95394865765243,2.7857142857142856,325.43881750230963,1.15625,1.4,31.812201124370446,0.0,0.13,22.964432686654913
2010-12-01,17.059292852943653,0.3333333333333333,0.2727272727272727,0.0,2.6245065927605618,0.0875,0.0,2.625,1.425,22.308306038464774,1.32,85.29646426471825,306.19243582206553,3.4285714285714284,341.185857058873,0.9375,1.4,51.69482682710197,0.0,0.22,27.88538254808097
2011-01-01,14.43478626018309,0.25,0.15151515151515152,0.0,5.2490131855211235,0.1125,0.05,3.125,1.525,24.932812631225335,1.3,102.35575711766191,384.9276336048824,3.0357142857142856,346.4348702443942,1.78125,1.36,135.2018547785744,0.0,0.31,26.24506592760562
2011-02-01,13.12253296380281,0.25,0.12121212121212122,0.0,2.6245065927605618,0.125,0.04,3.125,1.5,24.932812631225335,1.2,94.48223733938022,332.4375017496711,2.7857142857142856,372.67993617199977,1.90625,1.2,61.63613967846774,0.42788571428571426,0.24,21.324116066179563
2011-03-01,13.12253296380281,0.25,0.15151515151515152,0.0,2.6245065927605618,0.1125,0.0,2.8125,1.225,23.620559334845055,1.18,95.7944906357605,306.19243582206553,3.2857142857142856,362.1819098009575,1.0,1.16,65.61266481901404,0.0,0.24,22.964432686654913
2011-04-01,10.498026371042247,0.25,0.15151515151515152,0.0,1.3122532963802809,0.1125,0.03,2.375,1.2,20.996052742084494,1.1,82.6719576719577,271.19901458525806,3.0714285714285716,335.9368438733519,0.875,1.16,39.765251405463054,0.0,0.17,19.683799445704214
2011-05-01,10.498026371042247,0.25,0.18181818181818182,0.0,1.3122532963802809,0.1,0.04,2.375,1.175,19.683799445704214,1.0,81.35970437557741,253.7023039668543,3.0357142857142856,330.6878306878308,1.78125,1.04,35.78872626491675,0.0,0.15,21.324116066179563
2011-06-01,10.498026371042247,0.25,0.12121212121212122,0.0,2.6245065927605618,0.125,0.0,2.625,1.225,23.620559334845055,1.08,101.04350382128163,262.4506592760562,3.107142857142857,335.9368438733519,1.21875,1.2,51.69482682710197,0.0,0.2,27.88538254808097
2011-07-01,10.498026371042247,0.25,0.12121212121212122,0.0,2.6245065927605618,0.275,0.03,3.4375,1.4,22.308306038464774,1.12,89.2332241538591,279.94736989445994,2.6785714285714284,362.1819098009575,1.4375,1.32,33.8004636946436,0.0,0.19,19.683799445704214
2011-08-01,23.620559334845055,0.3333333333333333,0.24242424242424243,0.0,2.6245065927605618,0.45,0.0,2.6875,1.35,24.932812631225335,1.12,87.92097085747882,323.6891464404693,2.642857142857143,356.9328966154364,1.15625,1.36,33.8004636946436,0.0,0.21,32.80633240950702
2011-09-01,15.74703955656337,0.25,0.18181818181818182,0.0,3.9367598891408426,0.4375,0.05,3.125,1.45,26.24506592760562,1.24,99.73125052490134,402.42434422328614,3.357142857142857,320.1898043167885,1.0625,2.12,31.812201124370446,0.0,0.21,24.604749307130266
2011-10-01,14.43478626018309,0.25,0.15151515151515152,0.0,2.6245065927605618,0.55,0.0,2.0625,1.3,22.308306038464774,1.2,74.79843789367601,323.6891464404693,3.4285714285714284,257.20164609053506,0.84375,2.04,31.812201124370446,0.0,0.16,22.964432686654913
2011-11-01,14.43478626018309,0.25,0.09090909090909091,0.0,2.6245065927605618,0.575,0.0,1.0,1.275,19.683799445704214,1.02,56.426891744352076,253.7023039668543,2.7142857142857144,99.73125052490134,0.875,1.44,37.776988835189904,0.0,0.13,22.964432686654913
2011-12-01,14.43478626018309,0.16666666666666666,0.09090909090909091,0.0,2.6245065927605618,0.475,0.0,0.9375,1.325,19.683799445704214,0.96,65.61266481901404,279.94736989445994,2.9642857142857144,73.48618459729573,0.90625,1.48,29.823938554097293,0.0,0.16,22.964432686654913
2012-01-01,18.371546149323933,0.25,0.18181818181818182,0.0,2.6245065927605618,1.25,0.03,1.4375,1.25,19.683799445704214,0.88,62.98815822625348,271.19901458525806,2.642857142857143,68.23717141177461,1.09375,1.36,31.812201124370446,0.0,0.21,26.24506592760562
2012-02-01,15.74703955656337,0.16666666666666666,0.2727272727272727,0.0,2.6245065927605618,0.8375,0.06,1.5625,1.3,20.996052742084494,1.04,66.92491811539432,271.19901458525806,2.8214285714285716,73.48618459729573,1.9375,2.24,49.70656425682882,0.0,0.2,24.604749307130266
2012-03-01,14.43478626018309,0.16666666666666666,0.15151515151515152,0.0,2.6245065927605618,0.525,0.03,1.4375,1.35,19.683799445704214,0.98,64.30041152263377,271.19901458525806,2.7857142857142856,73.48618459729573,1.71875,1.44,35.78872626491675,0.0,0.2,22.964432686654913
