Tarih,actual,OptionA_best
2018-01-01,9.8,9.886752798829656
2018-02-01,10.0,9.69120123610104
2018-03-01,10.0,9.63452823073959
2018-04-01,10.2,9.900710794010521
2018-05-01,10.6,10.008921215815699
2018-06-01,10.7,10.28809462189841
2018-07-01,10.8,10.798211591918472
2018-08-01,11.2,10.930953099936943
2018-09-01,11.5,10.907228606118968
2018-10-01,11.6,11.323613702386236
2018-11-01,12.2,11.770517694242303
2018-12-01,12.7,11.736264098328492
2019-01-01,13.6,12.528436327073324
2019-02-01,13.8,13.293322576478014
2019-03-01,13.9,14.528646927770804
2019-04-01,13.8,14.419498383334526
2019-05-01,13.7,14.070374731509046
2019-06-01,13.7,13.760515287161775
2019-07-01,13.9,13.613856847288057
2019-08-01,14.1,13.464318556994126
2019-09-01,14.1,13.6812566057169
2019-10-01,13.5,14.089469011781105
2019-11-01,13.3,14.154046343401625
2019-12-01,13.4,13.129678245000466
2020-01-01,13.0,12.721707700895237
2020-02-01,12.6,13.029605422129277
2020-03-01,13.0,12.579481017626536
2020-04-01,13.5,12.012098298106528
2020-05-01,13.6,13.967451302106939
2020-06-01,13.7,14.141079424196109
2020-07-01,14.1,12.96484690618988
2020-08-01,12.9,12.921164263189832
2020-09-01,12.6,14.305974648528977
2020-10-01,13.1,12.706816279345228
2020-11-01,13.0,11.999846006326445
2020-12-01,12.6,12.746978568628258
2021-01-01,12.3,13.032646038906664
2021-02-01,13.2,12.60614494862071
2021-03-01,12.9,12.04238545907627
2021-04-01,13.3,12.599922907301277
2021-05-01,13.4,12.480010556966203
2021-06-01,11.0,12.946026414848125
2021-07-01,11.6,13.654103350106125
2021-08-01,12.0,12.254448605549966
2021-09-01,11.3,11.607320502663145
2021-10-01,11.0,11.774211692271127
2021-11-01,11.2,11.100280383873338
2021-12-01,11.0,10.646847153211365
2022-01-01,11.3,10.78789413949805
2022-02-01,10.6,10.739702346287855
2022-03-01,11.2,11.226066075034078
2022-04-01,10.8,10.811650625229907
2022-05-01,10.8,10.907737243254482
2022-06-01,10.2,10.688085722931422
2022-07-01,10.2,10.802430493691965
2022-08-01,9.8,10.228554444041846
2022-09-01,10.1,9.912261627208101
2022-10-01,10.3,9.612573512351023
2022-11-01,10.1,9.977624623405097
2022-12-01,10.4,10.284012790934316
2023-01-01,9.7,10.114397443377637
2023-02-01,10.0,10.398615384964854
2023-03-01,10.1,9.892013657367734
2023-04-01,10.1,9.804334208415872
2023-05-01,9.5,10.10945100259405
2023-06-01,9.3,10.174812731858687
2023-07-01,9.4,9.606795804706383
2023-08-01,9.2,9.253797228128956
2023-09-01,9.0,9.260597902512078
2023-10-01,8.5,9.155792621004252
2023-11-01,8.9,8.959311398729684
2023-12-01,8.9,8.446054901174898
2024-01-01,9.2,8.75513788677852
2024-02-01,8.6,8.874452494709713
2024-03-01,8.8,9.175570501768725
2024-04-01,8.6,8.796982381167469
2024-05-01,8.4,8.76047897743974
2024-06-01,9.1,8.64285294232783
2024-07-01,9.0,8.5677305246295
2024-08-01,8.5,9.025270794474183
2024-09-01,8.6,9.15066112639333
2024-10-01,8.7,8.721621861665145
2024-11-01,8.4,8.596989680865544
2024-12-01,8.7,8.695453062095897
2025-01-01,8.5,8.530634133413162
2025-02-01,8.2,8.707715795682331
2025-03-01,8.0,8.593740810672278
2025-04-01,8.6,8.333544323680718
2025-05-01,8.4,7.984919583210022
2025-06-01,8.5,8.460705781901915
2025-07-01,8.1,8.327938631189706
2025-08-01,8.5,8.537338849780014
2025-09-01,8.6,8.335498952138616
2025-10-01,8.5,8.47773925399127
2025-11-01,8.6,8.689714821468423
2025-12-01,7.9,8.620012402673773
