Tarih,actual,AR_direct,Ridge,ElasticNet,Lasso
2018-01-01,9.8,9.992164809417412,9.296138071345316,9.68151565375943,9.68151565375943
2018-02-01,10.0,9.6900800702557,9.483096938755574,9.590684079742909,9.590684079742909
2018-03-01,10.0,9.634309826724104,9.664686646758206,9.717315807493682,9.717315807493682
2018-04-01,10.2,9.999727672977862,9.7668748731426,9.851631409869812,9.851631409869812
2018-05-01,10.6,10.088650831331922,9.908105511745646,9.957295737547673,9.957295737547673
2018-06-01,10.7,10.248716912758727,10.09685066443707,10.15983398322746,10.15983398322746
2018-07-01,10.8,10.818134587860088,10.114060273170677,10.589882375568772,10.589882375568772
2018-08-01,11.2,10.911788549423013,10.219299140611316,10.657227180147535,10.657227180147535
2018-09-01,11.5,10.836064177526156,10.659991367058792,10.989496347655777,10.989496347655777
2018-10-01,11.6,11.34304682845032,10.782456820461894,11.251125778287612,11.251125778287612
2018-11-01,12.2,11.781064306035269,10.70726041561705,11.564862476092967,11.564862476092967
2018-12-01,12.7,11.737445619658459,11.526707129445995,11.77137598793587,11.77137598793587
2019-01-01,13.6,12.438431708650306,12.40046700957177,12.392012609983432,12.392012609983432
2019-02-01,13.8,13.254334140551855,12.919087363681026,12.916299196044523,12.916299196044523
2019-03-01,13.9,14.419321087122599,12.972783025969402,13.649230338997624,13.649230338997624
2019-04-01,13.8,14.523960436617624,13.266182230553158,13.766489596994132,13.766489596994132
2019-05-01,13.7,14.018238452108434,13.273592210217334,13.6518690832323,13.6518690832323
2019-06-01,13.7,13.680611483958645,14.045360864282049,14.212479659790318,14.212479659790318
2019-07-01,13.9,13.44227255807466,14.189761602178342,13.570752071265979,13.570752071265979
2019-08-01,14.1,13.505457777427779,13.354864240950224,13.267532454252212,13.267532454252212
2019-09-01,14.1,13.911891865933201,12.391146138605329,13.106259446818841,13.106259446818841
2019-10-01,13.5,14.260112366406918,12.43082696712558,13.281712354643545,13.281712354643545
2019-11-01,13.3,14.155301971499018,12.56742011383043,13.353241270640474,13.353241270640474
2019-12-01,13.4,13.070917296997958,12.247453600436401,12.686044634181451,12.686044634181451
2020-01-01,13.0,12.739095920943626,12.008317876047359,12.222101790551658,12.222101790551658
2020-02-01,12.6,13.240289577566754,11.765825687742481,12.264575873724153,12.264575873724153
2020-03-01,13.0,12.75069601793956,13.304411292415093,12.667358138409421,12.667358138409421
2020-04-01,13.5,12.07885177852758,16.081717944502476,12.384741734061734,12.384741734061734
2020-05-01,13.6,12.886562422777793,13.59226708884616,13.639038600068464,13.639038600068464
2020-06-01,13.7,13.852780350716008,9.89043751751635,13.276881719670433,13.276881719670433
2020-07-01,14.1,13.815038900563287,10.621638680411978,11.342636962427157,11.342636962427157
2020-08-01,12.9,13.74005423081013,12.243765546318743,12.870553909097831,12.870553909097831
2020-09-01,12.6,14.290486610117894,13.131930757070325,13.455908517999305,13.455908517999305
2020-10-01,13.1,12.43410269640073,12.824091139747804,12.464122618002778,12.464122618002778
2020-11-01,13.0,11.837062888526196,12.142503262807269,12.047575210658502,12.047575210658502
2020-12-01,12.6,13.007556376489584,12.186064641060195,12.484506554206304,12.484506554206304
2021-01-01,12.3,13.08695678348491,12.986624848338916,13.341393723841477,13.341393723841477
2021-02-01,13.2,12.396356064394908,12.569662390726473,12.466483645789381,12.466483645789381
2021-03-01,12.9,12.020105848174259,11.665680123595083,11.77261642398859,11.77261642398859
2021-04-01,13.3,13.277211137975499,11.281823558347364,11.705822145369094,11.705822145369094
2021-05-01,13.4,13.041952080562444,11.354339365891068,11.747345598794366,11.747345598794366
2021-06-01,11.0,13.260690516286605,11.934341417533336,12.330568685582971,12.330568685582971
2021-07-01,11.6,13.502216112662062,13.004671663293632,13.287587764435173,13.287587764435173
2021-08-01,12.0,10.68279054299825,13.136416571213672,11.567548177095144,11.567548177095144
2021-09-01,11.3,10.777183270062292,12.45296948502392,11.51952921507829,11.51952921507829
2021-10-01,11.0,12.153961106638864,12.00703678683676,11.839143144523476,11.839143144523476
2021-11-01,11.2,11.410947036745613,11.562015701642311,11.524026952307617,11.524026952307617
2021-12-01,11.0,10.820821073231624,11.095238800769586,11.032023896842832,11.032023896842832
2022-01-01,11.3,11.088552580239362,10.840198801810535,11.007009446883824,11.007009446883824
2022-02-01,10.6,11.0389357204412,11.074732305600488,11.070988809576045,11.070988809576045
2022-03-01,11.2,11.209258940037941,12.073631088534423,11.593290396003857,11.593290396003857
2022-04-01,10.8,10.695142753431332,11.766383822212743,11.201191753328253,11.201191753328253
2022-05-01,10.8,10.986677246495388,11.780925847552218,11.531550407698193,11.531550407698193
2022-06-01,10.2,10.947112251892044,11.575241096428988,11.329734419596251,11.329734419596251
2022-07-01,10.2,10.693705029858526,11.534447153003125,11.2846286154051,11.2846286154051
2022-08-01,9.8,10.233064927920035,10.751577658736007,10.166291818479504,10.166291818479504
2022-09-01,10.1,10.075127742519669,10.650405065530247,10.334345910252821,10.334345910252821
2022-10-01,10.3,9.835078893730518,10.462709205815399,10.121953460131971,10.121953460131971
2022-11-01,10.1,10.017466128800192,10.888668540961355,10.611513119790322,10.611513119790322
2022-12-01,10.4,10.369067797979925,10.83148575477856,10.645196915020305,10.645196915020305
2023-01-01,9.7,10.167388946016658,10.48647807929846,10.370300320924027,10.370300320924027
2023-02-01,10.0,10.349835156649753,10.480219160529435,10.471164789922675,10.471164789922675
2023-03-01,10.1,9.814818084398109,9.409024436904513,9.706646020385403,9.706646020385403
2023-04-01,10.1,9.852437624803763,10.230876741489526,9.93460119850683,9.93460119850683
2023-05-01,9.5,10.178121662271833,10.20095946314903,10.252515194821004,10.252515194821004
2023-06-01,9.3,10.137255312241383,10.175083860604074,10.122760795729937,10.122760795729937
2023-07-01,9.4,9.561992270075756,10.002331221497364,9.811054765461732,9.811054765461732
2023-08-01,9.2,9.2284784095902,9.98001159519914,9.597414543278672,9.597414543278672
2023-09-01,9.0,9.391843225205992,9.531190319364278,9.415703493570124,9.415703493570124
2023-10-01,8.5,9.272136341826839,9.120469692067331,9.155921943289295,9.155921943289295
2023-11-01,8.9,9.016231228391012,8.813971480705838,8.927893206933735,8.927893206933735
2023-12-01,8.9,8.53822906215608,8.53789413409925,8.67142284604219,8.67142284604219
2024-01-01,9.2,8.830531100087917,8.679369718920027,8.824167624794855,8.824167624794855
2024-02-01,8.6,9.027682623515405,8.90801706069741,8.95767809653858,8.95767809653858
2024-03-01,8.8,9.230067358812544,8.968614106235785,9.123335987432624,9.123335987432624
2024-04-01,8.6,8.734464507396531,8.578848229192438,8.826103449944087,8.826103449944087
2024-05-01,8.4,8.729733567955115,8.879117703589198,8.583954252124117,8.583954252124117
2024-06-01,9.1,8.69531252487679,8.58109705904982,8.62183869122183,8.62183869122183
2024-07-01,9.0,8.42701795696702,8.51185306882175,8.444126461249605,8.444126461249605
2024-08-01,8.5,9.064754301375082,8.822210060156566,8.919765212887215,8.919765212887215
2024-09-01,8.6,9.179919967076518,9.336890488989749,9.231193250517896,9.231193250517896
2024-10-01,8.7,8.572620621528028,9.414435008277708,9.069316655336795,9.069316655336795
2024-11-01,8.4,8.554573602122712,8.971913494531249,8.853410604326944,8.853410604326944
2024-12-01,8.7,8.753488345684957,8.949995759983697,8.98257674784768,8.98257674784768
2025-01-01,8.5,8.491826022135468,8.799338949865627,8.664966397244356,8.664966397244356
2025-02-01,8.2,8.668232281352328,8.533167503444814,8.803872056022993,8.803872056022993
2025-03-01,8.0,8.614533095553824,8.73321736996719,8.734973400708093,8.734973400708093
2025-04-01,8.6,8.242156569964354,8.662522377031795,8.52148220326921,8.52148220326921
2025-05-01,8.4,8.0165121353199,8.370387897496233,8.251500780675808,8.251500780675808
2025-06-01,8.5,8.554760628298991,8.386591001440939,8.596849591810104,8.596849591810104
2025-07-01,8.1,8.560062904571993,8.868670867937192,8.747443115051881,8.747443115051881
2025-08-01,8.5,8.502895297231193,8.958761570047141,8.713673678470606,8.713673678470606
2025-09-01,8.6,8.198232247600721,8.237128244868721,8.168745671319424,8.168745671319424
2025-10-01,8.5,8.444945814839443,7.960907639188914,8.093710262362526,8.093710262362526
2025-11-01,8.6,8.688943327764612,8.368828500164902,8.661126922377953,8.661126922377953
2025-12-01,7.9,8.565961999306406,8.570203961153974,8.44793890947553,8.44793890947553
