transform,model,rmse_full,rmse_exc
stl_yoy,"Option-A exog (K2,p1)",0.5777539798744501,0.43651704982728434
stl_yoy,B5 structure,0.5840583608513488,0.4706503919888535
stl_only,"Option-A exog (K2,p1)",0.7857387241964412,0.460212563914881
stl_only,B5 structure,0.6155071066549509,0.5047493190925482
yoy_only,"Option-A exog (K2,p1)",0.577776361815145,0.4365099722866965
yoy_only,B5 structure,0.5840586844302789,0.4706507319979405
