Tarih,actual,ARDL_all,ARDL_sel,AR_direct
2018-01-01,9.8,10.01385749144033,10.080561550973874,10.042402308647066
2018-02-01,10.0,9.557884246245209,9.62283330819993,9.855497640713313
2018-03-01,10.0,9.535124339810327,9.611844062210459,9.761415007716803
2018-04-01,10.2,9.893934748423408,9.907518213699706,9.946088817963245
2018-05-01,10.6,9.990402341143081,10.025926179664234,9.948512686903335
2018-06-01,10.7,10.164816091035707,10.179247838987767,10.134239744137046
2018-07-01,10.8,10.632385157402217,10.630485793737195,10.507438120730807
2018-08-01,11.2,10.594002212315667,10.578523616188075,10.605740913044361
2018-09-01,11.5,10.96934523348333,10.909517562080325,10.70178907736933
2018-10-01,11.6,11.34643240537517,11.343154607025,11.08016840671105
2018-11-01,12.2,11.733078652622776,11.690540328841722,11.373680020883754
2018-12-01,12.7,12.153797497618893,12.03720962403578,11.48002301166097
2019-01-01,13.6,12.743720108468858,12.610913130140824,12.070733718685076
2019-02-01,13.8,13.062630037813308,12.9395591812854,12.59572761803021
2019-03-01,13.9,13.72624407049361,13.627485466365096,13.562345990008625
2019-04-01,13.8,13.807510528034733,13.793738205476869,13.851276520097962
2019-05-01,13.7,14.13900451565608,14.125106721896039,13.976576503728099
2019-06-01,13.7,14.115485723338569,13.81821018503446,13.86846741479475
2019-07-01,13.9,13.67362304267239,13.579524775729746,13.744844062652657
2019-08-01,14.1,13.3576551070541,13.42474949090655,13.73385270374876
2019-09-01,14.1,13.378488457288245,13.64174514238146,13.946140630457382
2019-10-01,13.5,13.653477630115498,13.752715791637371,14.172088048678264
2019-11-01,13.3,13.589056613350477,13.66215826863885,14.181097252370293
2019-12-01,13.4,12.693862684481777,12.815621759780212,13.534066955679291
2020-01-01,13.0,12.234634773346327,12.407027946857513,13.290479077157336
2020-02-01,12.6,12.552067337975597,12.739707624152734,13.385518346989668
2020-03-01,13.0,13.481589094704837,12.98595683257809,12.979853821028948
2020-04-01,13.5,15.18942098288436,14.515814291243672,12.561466078854124
2020-05-01,13.6,13.715114575838513,13.627829109807758,12.953848329175273
2020-06-01,13.7,13.519303077390857,13.836659303624597,13.47114956521597
2020-07-01,14.1,13.578857994995747,13.711893836041162,13.590878686635516
2020-08-01,12.9,13.677592084690977,13.717780455940208,13.697933557656908
2020-09-01,12.6,13.628674194307223,13.716647972546602,14.11573841772994
2020-10-01,13.1,12.459424764406712,12.538721146496746,12.895289670016215
2020-11-01,13.0,12.063270384947096,12.175418165847526,12.55621315000257
2020-12-01,12.6,12.745128981201402,12.797047497947846,13.049154966511173
2021-01-01,12.3,12.765252943192941,12.73663364058098,12.960965957572014
2021-02-01,13.2,12.418418990308258,12.445986233883433,12.560106510473807
2021-03-01,12.9,11.796993978202389,11.952880483203037,12.255797561304481
2021-04-01,13.3,11.355104221221943,11.227120405253029,13.142860076154646
2021-05-01,13.4,11.860321886469363,11.701833395797623,12.861696312816255
2021-06-01,11.0,13.003880958268919,12.87651348525363,13.255935730464053
2021-07-01,11.6,13.304220498815816,13.223259316532562,13.365916792599714
2021-08-01,12.0,10.941059311389905,10.886122926159123,10.991462622094916
2021-09-01,11.3,11.524383775090662,11.48019436721961,11.548510288591652
2021-10-01,11.0,11.907438367425591,11.85179644969727,11.938549114803124
2021-11-01,11.2,11.2761261761544,11.222968267195467,11.267860303886216
2021-12-01,11.0,10.964963579952393,10.93192716674824,10.974084987300083
2022-01-01,11.3,11.211913371279842,11.21486769708363,11.163944745315366
2022-02-01,10.6,11.083833994648682,11.029686864750873,10.973831864439791
2022-03-01,11.2,11.288190722513201,11.113270818192008,11.260322345462903
2022-04-01,10.8,10.7137924941843,10.601322882337811,10.59157961880371
2022-05-01,10.8,11.247764354523673,11.186030047604806,11.162020029612783
2022-06-01,10.2,10.744379171790955,10.750320541728156,10.782896538026112
2022-07-01,10.2,10.689176725090027,10.676253112497397,10.780409093164968
2022-08-01,9.8,10.238634811129755,10.241994068313252,10.205977640262114
2022-09-01,10.1,10.256267328459385,10.276319251924013,10.202139144997044
2022-10-01,10.3,9.986269355830778,9.951340210649388,9.818612105936918
2022-11-01,10.1,10.363016971108001,10.182087264778234,10.10327029724463
2022-12-01,10.4,10.657076309933506,10.485134439393757,10.297241283722084
2023-01-01,9.7,10.36109163150346,10.271580892910393,10.107115694036597
2023-02-01,10.0,10.389793703450058,10.404273640465616,10.392931738083904
2023-03-01,10.1,9.882104001711516,9.976516377657603,9.724460751671923
2023-04-01,10.1,10.057379834993915,10.057073208491351,10.006993450879712
2023-05-01,9.5,10.204812059813246,10.185919898771767,10.105121374137232
2023-06-01,9.3,10.056354391747938,10.111477235457357,10.105789290303083
2023-07-01,9.4,9.582429903153928,9.607948602293357,9.530801366953185
2023-08-01,9.2,9.430330329305786,9.457492755571279,9.33388837365709
2023-09-01,9.0,9.498732917431159,9.528904259417615,9.427861505372977
2023-10-01,8.5,9.192287931950357,9.259114330307906,9.235854323410102
2023-11-01,8.9,8.972099864707513,9.130700414544826,9.040391550055409
2023-12-01,8.9,8.380381753473703,8.543783758485786,8.553096066194795
2024-01-01,9.2,8.814283333882257,8.919128053864393,8.934152191148549
2024-02-01,8.6,9.076873710361225,9.032023891780142,8.939366581680176
2024-03-01,8.8,9.056043785541315,9.140351892822512,9.229177975948836
2024-04-01,8.6,8.719494348423032,8.742401851539709,8.651541097023703
2024-05-01,8.4,9.06735838731668,9.053795175294272,8.83766561488375
2024-06-01,9.1,8.701332844862645,8.720281888331229,8.645480425611957
2024-07-01,9.0,8.613479680285376,8.601254688682591,8.447447274751935
2024-08-01,8.5,9.195370207635335,9.221043642975783,9.124810039883267
2024-09-01,8.6,9.195087637888513,9.153236280199412,9.036413380998418
2024-10-01,8.7,8.6992729074258,8.673164985959499,8.551151913928669
2024-11-01,8.4,8.864154977166075,8.82579932634569,8.641468445918495
2024-12-01,8.7,8.944895171781189,8.901576814039876,8.73945107957751
2025-01-01,8.5,8.576369297444074,8.556734911464709,8.448613694085028
2025-02-01,8.2,8.854153476852455,8.79297784602708,8.735725185262615
2025-03-01,8.0,8.657470700919536,8.642111498334067,8.544742027094005
2025-04-01,8.6,8.401750598768302,8.372239810308738,8.249479951540938
2025-05-01,8.4,7.994424081709419,7.957397404945992,8.048780626274642
2025-06-01,8.5,8.74244381236398,8.72090390082453,8.631628165087328
2025-07-01,8.1,8.539750870923822,8.503530776904682,8.44490919476704
2025-08-01,8.5,8.612883896705,8.562749840042951,8.539086180977113
2025-09-01,8.6,8.053383753111287,8.105275278986838,8.149954391342513
2025-10-01,8.5,8.561688164725009,8.487342571757651,8.534023287315883
2025-11-01,8.6,8.601312050195354,8.583108050022554,8.636363451002701
2025-12-01,7.9,8.443495202728128,8.461100918137157,8.539922192562356
