Tarih,actual,ARDL_all,ARDL_sel,AR_direct
2018-01-01,9.8,10.239817791192543,10.280185466833132,9.992164809417412
2018-02-01,10.0,9.98239848453002,9.872948723965926,9.690080070255702
2018-03-01,10.0,9.764097159393176,9.768465881235347,9.634309826724094
2018-04-01,10.2,10.090573353676685,10.10451620415246,9.999727672977862
2018-05-01,10.6,10.175968063717951,10.230374579700335,10.088650831331927
2018-06-01,10.7,10.297872970917556,10.372367677092136,10.248716912758727
2018-07-01,10.8,10.863333288339724,10.92791097767572,10.81813458786009
2018-08-01,11.2,11.097085003100322,11.024655671844549,10.911788549423013
2018-09-01,11.5,11.314062207434928,11.066279781764418,10.836064177526154
2018-10-01,11.6,11.53752283729494,11.52907876906839,11.34304682845032
2018-11-01,12.2,11.909106566403944,11.90631998473975,11.78106430603527
2018-12-01,12.7,12.1093647673039,12.051593432618215,11.737445619658459
2019-01-01,13.6,12.796565700686827,12.750804701324341,12.438431708650306
2019-02-01,13.8,13.315394522352225,13.180166960299672,13.25433414055186
2019-03-01,13.9,13.95089079974506,13.942825557485492,14.419321087122597
2019-04-01,13.8,14.034581191068721,14.07504647140147,14.52396043661762
2019-05-01,13.7,13.865851976091962,13.90776437875829,14.018238452108427
2019-06-01,13.7,13.884843564047772,13.65825135151992,13.680611483958652
2019-07-01,13.9,13.63149667146773,13.483739601097326,13.442272558074663
2019-08-01,14.1,13.28660279427831,13.245776463714671,13.505457777427779
2019-09-01,14.1,13.83238607242846,13.723797763431119,13.911891865933203
2019-10-01,13.5,14.150494093536741,14.122413482832673,14.260112366406915
2019-11-01,13.3,13.816424743857542,13.901842239354021,14.155301971499018
2019-12-01,13.4,13.11265684953857,13.08963618865528,13.07091729699796
2020-01-01,13.0,12.73390072824336,12.80321345120053,12.739095920943626
2020-02-01,12.6,12.851453524567265,12.984107632135807,13.240289577566754
2020-03-01,13.0,14.875350089830814,13.902544008203279,12.75069601793956
2020-04-01,13.5,18.889277291347344,16.957087704168494,12.07885177852758
2020-05-01,13.6,14.110946074951086,15.00517863051556,12.886562422777793
2020-06-01,13.7,13.275895788044592,12.48915092431109,15.26794426585899
2020-07-01,14.1,13.942608758062216,13.174144949388165,14.876656059503551
2020-08-01,12.9,13.233637177191925,12.900246769413643,14.323428018538745
2020-09-01,12.6,13.857597623569276,13.56047340797121,14.760860490456832
2020-10-01,13.1,11.9037428063586,11.771284862983983,12.728477089257245
2020-11-01,13.0,10.840350235218125,10.749852330788388,11.845824591777454
2020-12-01,12.6,12.416271579261505,12.378468820121093,13.083999346755817
2021-01-01,12.3,12.854624629007763,12.826276545470854,13.263632229028271
2021-02-01,13.2,12.141566435648347,12.058547917535938,12.505619012901363
2021-03-01,12.9,11.922411532220865,11.674173964050768,12.051419869637387
2021-04-01,13.3,12.91221440063479,12.922403292482088,13.362191157952578
2021-05-01,13.4,12.766964003722062,12.884276219633886,13.189019861023532
2021-06-01,11.0,13.356773520998166,13.04475872141784,13.366572181567895
2021-07-01,11.6,13.724411220500796,13.529558819108937,13.632027381883258
2021-08-01,12.0,11.000742193435663,10.558296131964841,10.71484796771076
2021-09-01,11.3,10.755316557691017,10.346440563891779,10.732106720841198
2021-10-01,11.0,11.764477853893244,11.758700014304694,12.140211778989425
2021-11-01,11.2,11.194076896153323,11.108981674039757,11.420469949472295
2021-12-01,11.0,10.646348796957108,10.558384323532476,10.771838032683359
2022-01-01,11.3,11.162441373671498,11.291552083398683,11.104984333150504
2022-02-01,10.6,11.14064574790158,11.196699117691015,11.050691071670649
2022-03-01,11.2,11.846856351402753,11.246618129004572,11.222978115232289
2022-04-01,10.8,10.985403973892407,10.832941734591252,10.70724527298356
2022-05-01,10.8,10.987734129268853,11.029951658283832,11.000378077355666
2022-06-01,10.2,10.993755258425388,11.053440978999788,10.954408311754843
2022-07-01,10.2,10.875491506980568,10.874659695018709,10.70677730890545
2022-08-01,9.8,10.553764402959036,10.401458377380294,10.242691315151546
2022-09-01,10.1,10.323434308452356,10.227591851976776,10.08333706830725
2022-10-01,10.3,9.978269272253005,9.979693204741787,9.839050952825104
