Tarih,VPC1_cov,VPC1_nocov,VPC2_cov,VPC2_nocov,VPC3_cov,VPC3_nocov,VPC4_cov,VPC4_nocov,VPC1+VPC3_cov,VPC3+VPC4_cov,VPC3_TVrw,PLS1_exog,VPC1+VPC2_cov,VPC1+VPC4_cov,VPC2+VPC3_cov,VPC2+VPC4_cov,VPC1_cov_L1,VPC2_cov_L1,VPC3_cov_L1,VPC4_cov_L1,VPC1+VPC3_cov_L1,VPC3+VPC4_cov_L1,VPC1+VPC2_cov_L1,VPC1+VPC4_cov_L1,VPC2+VPC3_cov_L1,VPC2+VPC4_cov_L1,VPC1_cov_L0,VPC2_cov_L0,VPC3_cov_L0,VPC4_cov_L0,VPC1+VPC2_cov_L0,VPC1+VPC3_cov_L0,VPC1+VPC4_cov_L0,VPC2+VPC3_cov_L0,VPC2+VPC4_cov_L0,VPC3+VPC4_cov_L0
2018-01-01,10.06806102793546,10.068008424974698,9.979747502163008,9.980104060115517,10.216867000496777,10.216925604627988,10.051324337673917,10.05123559382423,10.212257517163373,10.24390041138704,10.21686721787596,10.099406166488391,9.966963469158072,10.05441155050223,10.105266913284272,9.996147995050997,10.081835588638466,10.015026654098516,10.13345697595196,10.067489209184998,10.161560277345712,10.147543833180436,9.986833794795352,10.06827825489356,10.039810191462609,10.017310360920378,9.965665393933321,10.01868926475494,10.138030855178592,10.09102105752345,9.938152324767996,10.090572079401785,10.00635811499386,10.07297115318918,10.032893780458547,10.140951605566096
2018-02-01,9.852385266813206,9.852382735822047,9.8026369644837,9.802663406838562,9.89721908104278,9.897219149041002,9.948379103359214,9.948385913279798,9.908787905653332,9.995175033596569,9.89722048150643,9.906446810793945,9.75060104738152,9.940289662285783,9.808851395192912,9.847826187299608,9.86779087968006,9.82420120616435,9.896023493702302,9.895665387306746,9.908490697217312,9.9102788271902,9.79026188384831,9.869688688674897,9.807697171590988,9.859426385362704,9.71830265044181,9.828351284375117,9.866616570796161,9.901022604766863,9.745853437786483,9.80766931605499,9.792865060709238,9.804073583250663,9.849941660042676,9.872738027749229
2018-03-01,9.740816469216355,9.740815961345533,9.696796782660858,9.696799569136347,9.828820606612329,9.82882046303274,9.809624600456218,9.809624950816929,9.804276256228654,9.88188153817271,9.828820990217896,9.747161086645756,9.623365728742463,9.764786682420327,9.724471082701832,9.713717499538456,9.755655661558492,9.726738015827635,9.789833753477264,9.800317194624723,9.782901855021125,9.799683680339507,9.647654842741934,9.758027180900216,9.703422319795331,9.760106554700682,9.593271695201295,9.732946256981343,9.762103225732252,9.802029661732739,9.608344900278166,9.69582001414841,9.652437069886032,9.700574385552216,9.751092639900776,9.765840712446636
2018-04-01,9.949074316803696,9.949074303363648,9.894849653641646,9.89484877733988,10.04496596315104,10.044965902707784,9.994635080921595,9.994635172819365,10.009003628127202,10.095630317751835,10.044966200923586,9.941967647831536,9.853102231233716,9.959925353455622,9.941466291304003,9.906325388088582,9.9543453670736,9.949532754541288,10.00486742864661,9.987447839739389,9.98226747692767,10.017099597595848,9.894158373684649,9.952532974756478,9.949113988546646,9.965011995792196,9.84671743826078,9.955918827366576,9.978081142925875,9.996031098916754,9.871448788882738,9.935885271357211,9.897886432996742,9.94475812953692,9.970355931547568,9.982495952851648
2018-05-01,9.99673099372005,9.996730991093186,9.888545926386753,9.888545840708574,10.046718696716573,10.046718777034153,10.000872510710012,10.00087253066205,10.062633437699697,10.124748289770547,10.0467187062321,10.049158637798364,9.902135391988086,10.024460989963782,9.9475970139193,9.900628974578472,9.998803075183062,9.944104638143308,10.025128488203157,9.977630649149605,10.04938189018118,10.03390964744754,9.953138928041335,9.989802929724828,9.96670436529648,9.947964541490068,9.93094897488356,9.950680485822254,10.045704930405513,9.997043990518177,9.926539695615421,10.024406007472917,9.98994828836521,10.007453708400892,9.966521910453718,10.051718040772183
2018-06-01,10.1689935729226,10.168993573753417,10.098968555248362,10.098968504202697,10.235885142697525,10.235884804883073,10.20901823758573,10.209018238891034,10.257318700444166,10.276009859292556,10.235885121980514,10.262487893645837,10.073862589553444,10.208404872377365,10.161372573333004,10.123109533299331,10.180799893364192,10.154632579687568,10.260241459634022,10.178886844673263,10.27504709731878,10.260376845946851,10.143453386521806,10.175460386309872,10.215764341050631,10.15429920305978,10.087784361192382,10.16252406502187,10.262279749519175,10.183434485259681,10.118693853702327,10.23309681959361,10.085984403625863,10.240936553165355,10.16384135653041,10.260712276381119
2018-07-01,10.56625141569301,10.56625141618442,10.5169281547006,10.516928144119383,10.636212103895616,10.636212102250507,10.581074458979726,10.581074450973649,10.645972976026822,10.66494666513586,10.63621210197858,10.62973458464901,10.495865547278546,10.581945610652111,10.582515818577606,10.529814841188214,10.57199678053071,10.56884960443722,10.637326694036304,10.564180656801655,10.643163192917998,10.643664116484231,10.545712949363653,10.563518596082568,10.62226460335141,10.556098615566302,10.521436150821279,10.565655840669887,10.63111787879966,10.577392078418447,10.52698114770831,10.614216346731224,10.531158901970498,10.62140552397861,10.567777981215059,10.63276898485744
2018-08-01,10.649815628977205,10.64981562856287,10.666356915105272,10.666357219645317,10.726975232734285,10.726974891000554,10.702720611770332,10.702720404297084,10.718770642257144,10.8027907003516,10.72697454783924,10.70997892703937,10.620058343848504,10.690137963588109,10.713228653562338,10.690037097596637,10.651684236290146,10.685283548557551,10.709205710020736,10.67215316015394,10.706088988876894,10.728915613704372,10.628652967874537,10.651541398137232,10.713802773581731,10.69199660913254,10.594721148090766,10.679671447645344,10.677541794621078,10.684923420394894,10.620499495371057,10.648353782818358,10.673577056349911,10.6817329052324,10.695668258113841,10.687248203801346
2018-09-01,10.800869715777552,10.800869707547305,10.826488489552764,10.826488478182029,10.846962303389866,10.846962388281352,10.829842285068382,10.829842317040244,10.873889020675428,10.95751464774082,10.84696234484648,10.811336991456027,10.808819954392948,10.857666777355265,10.887868777110253,10.888156822437876,10.801215686216011,10.861143668036055,10.800890016002354,10.813684588174668,10.846253213185268,10.83353225195468,10.813432781163764,10.8356122677369,10.898435351940211,10.912156846990207,10.83099510872062,10.861495285507127,10.76839749027656,10.802505455488657,10.828104798006056,10.784862573177781,10.987924513793578,10.849615036063803,10.894926975863022,10.795572495263256
2018-10-01,11.211347181061877,11.21134718056002,11.25629355803361,11.25629356312459,11.279952838555465,11.279954679236774,11.151470198126496,11.151470186953304,11.298094403759327,11.296588969860178,11.279952560197938,11.305462380035438,11.259335641534454,11.182775881857092,11.347652732540164,11.231435449609055,11.211445912189909,11.25788131897039,11.229320008672197,11.169390767201808,11.268381434884642,11.240641418561095,11.265293994906868,11.20762263773162,11.324508308966116,11.239555262892418,11.294879731394847,11.257925151911602,11.194862069296278,11.18272190222855,11.303620725110852,11.240078334411526,11.321738046182285,11.270634970633505,11.25994337214107,11.201128300412774
