Tarih,actual,rolling_pls,AR1,B5_PCA
2018-01-01,9.8,,10.114434740322814,10.23631836145437
2018-02-01,10.0,,9.918132778741294,10.016385913886031
2018-03-01,10.0,,9.819870318233914,9.899451501771283
2018-04-01,10.2,,10.016114862069928,10.107302261806336
2018-05-01,10.6,,10.01603774111846,10.140844910961327
2018-06-01,10.7,,10.212154009646628,10.273485695334756
2018-07-01,10.8,,10.603921437523203,10.659986350741123
2018-08-01,11.2,,10.701914822935343,10.822551965525244
2018-09-01,11.5,,10.799973696751492,10.99368461954922
2018-10-01,11.6,,11.192358204951278,11.315963997146772
2018-11-01,12.2,,11.487636847515247,11.648120570607762
2018-12-01,12.7,,11.586405278635471,11.830327633313573
2019-01-01,13.6,12.506587840656373,12.17888634000425,12.587729298454706
2019-02-01,13.8,13.214267871057643,12.67535171657197,12.935474214022848
2019-03-01,13.9,14.531970738058467,13.570498264630857,13.745149219934245
2019-04-01,13.8,14.58758419013613,13.771081711747687,13.9927065044404
2019-05-01,13.7,14.189714445672887,13.871635666102303,14.117692157566037
2019-06-01,13.7,13.773576230282027,13.771842210771585,13.887048294846442
2019-07-01,13.9,13.504680146526852,13.672035526772293,13.766508172717998
2019-08-01,14.1,13.41894688941154,13.672532925933364,13.733910119424795
2019-09-01,14.1,13.74357359536645,13.872855266829593,13.850043092723888
2019-10-01,13.5,14.126444162871955,14.073301869805324,14.068475475181732
2019-11-01,13.3,14.1056440760979,14.07362211963407,14.061429799969432
2019-12-01,13.4,13.09778725797927,13.471959207165114,13.401032522695592
2020-01-01,13.0,11.947471327272956,13.272644941577775,13.097228853083733
2020-02-01,12.6,11.98770381422171,13.398835474271577,13.215528489278146
2020-03-01,13.0,13.357511194997592,12.973683782867802,13.045648787431448
2020-04-01,13.5,16.250486099036436,12.575967115885836,13.0102403169752
2020-05-01,13.6,15.290452179003868,12.972768973267677,13.530332696741723
2020-06-01,13.7,15.529162854844994,13.497764148457197,13.682464984293084
2020-07-01,14.1,15.379781882574036,13.599359885335526,13.906535927862535
2020-08-01,12.9,15.159955312544769,13.670399840494106,13.950909961615638
2020-09-01,12.6,14.940141968859752,14.069965604889076,14.142417818841231
2020-10-01,13.1,13.4515726606983,12.867902180510637,12.888062701756184
2020-11-01,13.0,13.044245267828618,12.57106583847976,12.51702934612782
2020-12-01,12.6,13.503216136490035,13.0654596370516,13.057735193602758
2021-01-01,12.3,12.499977176227496,12.966628401934168,12.973365489875375
2021-02-01,13.2,12.105085796393428,12.57067075637579,12.626932911312958
2021-03-01,12.9,11.683837589785927,12.275031396166776,12.283664979710933
2021-04-01,13.3,12.362831526037345,13.161244174086736,12.69352211956515
2021-05-01,13.4,12.065301497721425,12.864222983761046,12.359906926923388
2021-06-01,11.0,12.542274963566731,13.26026047912401,12.758004862540504
2021-07-01,11.6,12.608202289170496,13.360020215596764,12.889488842989874
2021-08-01,12.0,10.54559743050157,11.0015405668212,11.336285864510817
2021-09-01,11.3,11.01954862816312,11.578325539166151,11.96796613518616
2021-10-01,11.0,11.209839973794688,11.964082918706588,12.121720264353462
2021-11-01,11.2,10.45617780309508,11.289364227095833,11.359618196447816
2021-12-01,11.0,10.07185542664867,11.00156922258493,10.986007199714274
2022-01-01,11.3,10.313521587317366,11.193386519771742,11.11379900992931
2022-02-01,10.6,10.199329286539644,11.001589870420329,11.01810259812963
2022-03-01,11.2,11.363619328229714,11.289240914411014,11.170320163874868
2022-04-01,10.8,10.751179503658067,10.618492472693667,10.64351311602425
2022-05-01,10.8,11.243590136281572,11.19261585855842,11.136090962509614
2022-06-01,10.2,10.742833802499778,10.809972610917155,10.833657736006726
2022-07-01,10.2,10.729295294627052,10.809926702354296,10.735992696090063
2022-08-01,9.8,10.165226960083203,10.23616585339326,10.172860694389056
2022-09-01,10.1,10.172005103944988,10.235944620321437,10.270485345008202
2022-10-01,10.3,9.865595893392566,9.852421551254984,9.910446494161013
2022-11-01,10.1,10.237513235850084,10.139991292548936,10.249140428129447
2022-12-01,10.4,10.416471280661126,10.33122001982758,10.43366062216452
2023-01-01,9.7,10.187953991644592,10.139673467619843,10.255227083356557
2023-02-01,10.0,10.364163700222424,10.426613538783212,10.447340862120049
2023-03-01,10.1,9.633936969582196,9.756967872049124,9.766780183837362
2023-04-01,10.1,9.858288478553462,10.044283332022603,9.995878792401276
2023-05-01,9.5,9.966973833617303,10.139694197147293,10.12780587089716
2023-06-01,9.3,10.13141188622609,10.139522270506248,10.080323789796124
2023-07-01,9.4,9.564663155917733,9.564745334548473,9.54785794349428
2023-08-01,9.2,9.379325939606758,9.37164682833608,9.438844030361084
2023-09-01,9.0,9.413990489464823,9.467429441345091,9.52344321075126
2023-10-01,8.5,9.283324664541057,9.274031643651083,9.274605422872815
2023-11-01,8.9,9.059281138674697,9.07990932005982,9.053484326933493
2023-12-01,8.9,8.535262181197202,8.593214211888558,8.558435699850541
2024-01-01,9.2,8.919625603757208,8.9824460995798,8.97855106173225
2024-02-01,8.6,8.99586817595025,8.9815610816266,8.972000246318563
2024-03-01,8.8,9.291846017050304,9.271476421312816,9.27003372354673
2024-04-01,8.6,8.779082396986034,8.690007058341411,8.749492694458587
2024-05-01,8.4,9.056795195796173,8.88377384366396,9.026778071166394
2024-06-01,9.1,8.643956778614445,8.688338512857696,8.675962774095394
2024-07-01,9.0,8.629108626293629,8.492040484062986,8.61078940042228
2024-08-01,8.5,9.286345982563635,9.171925713671389,9.188287190472929
2024-09-01,8.6,9.036023409443622,9.07453592159041,9.111448743023924
2024-10-01,8.7,8.600078509479525,8.590521836379908,8.626344112327434
2024-11-01,8.4,8.64750575706051,8.68701239195412,8.716920437611186
2024-12-01,8.7,8.795596000786064,8.783334518558322,8.825927139440271
2025-01-01,8.5,8.441843342782192,8.490365973165652,8.499915669850635
2025-02-01,8.2,8.739849376425653,8.782106137538493,8.70544399285024
2025-03-01,8.0,8.496340426099826,8.58663219415793,8.545986891663068
2025-04-01,8.6,8.175778003355667,8.292557150647319,8.27143126556773
2025-05-01,8.4,8.019843450119723,8.095018925146963,8.160877458203888
2025-06-01,8.5,8.493367732805204,8.682459988120645,8.664548926367655
2025-07-01,8.1,8.379526233996224,8.485544119088097,8.478189652737923
2025-08-01,8.5,8.461540117241105,8.582807795506016,8.67955156789009
2025-09-01,8.6,8.1746957755427,8.191904782400595,8.152317514436362
2025-10-01,8.5,8.51539485058749,8.582427591837211,8.489791484278998
2025-11-01,8.6,8.643905668026521,8.679467332472017,8.63532202716029
2025-12-01,7.9,8.531780986171823,8.581321605166414,8.590664482351665
