Tarih,actual,rolling,AR1,AR2
2018-01-01,9.8,,10.114434740322814,10.05180038708052
2018-02-01,10.0,,9.918132778741294,9.855410613217405
2018-03-01,10.0,,9.819870318233914,9.790417290162354
2018-04-01,10.2,,10.016114862069928,10.081175713816776
2018-05-01,10.6,,10.01603774111846,10.016927568369022
2018-06-01,10.7,,10.212154009646628,10.273831820916762
2018-07-01,10.8,,10.603921437523203,10.73322724298238
2018-08-01,11.2,,10.701914822935343,10.727858886091015
2018-09-01,11.5,,10.799973696751492,10.825168207202791
2018-10-01,11.6,,11.192358204951278,11.320337790366032
2018-11-01,12.2,,11.487636847515247,11.584531873220548
2018-12-01,12.7,,11.586405278635471,11.60663995685454
2019-01-01,13.6,12.55520122576999,12.17888634000425,12.39623164221205
2019-02-01,13.8,12.92550373594704,12.67535171657197,12.879292670071155
2019-03-01,13.9,13.744661637132424,13.570498264630857,14.056930346138865
2019-04-01,13.8,13.989258922152567,13.771081711747687,13.844282355163354
2019-05-01,13.7,14.112875504289416,13.871635666102303,13.89160727661781
2019-06-01,13.7,13.849481587079516,13.771842210771585,13.681717571997329
2019-07-01,13.9,13.723986659895049,13.672035526772293,13.582358028243323
2019-08-01,14.1,13.725784224503546,13.672532925933364,13.639815376470532
2019-09-01,14.1,13.860997006483217,13.872855266829593,13.951111852763326
2019-10-01,13.5,14.071162384942763,14.073301869805324,14.153878382839268
2019-11-01,13.3,14.05945495364783,14.07362211963407,14.0450212488804
2019-12-01,13.4,13.419993988412182,13.471959207165114,13.1033106642864
2020-01-01,13.0,13.118223247551596,13.272644941577775,13.132904458538096
2020-02-01,12.6,13.235079781967563,13.398835474271577,13.396837690705905
2020-03-01,13.0,13.045455103769388,12.973683782867802,12.736218274854608
2020-04-01,13.5,13.01124388959949,12.575967115885836,12.330371896449018
2020-05-01,13.6,13.53100713095312,12.972768973267677,13.140959872089637
2020-06-01,13.7,13.875382368516355,13.497764148457197,13.70022156842031
2020-07-01,14.1,13.896323642230934,13.599359885335526,13.59169771923282
2020-08-01,12.9,13.950244170541689,13.670399840494106,13.69259541933944
2020-09-01,12.6,14.067252762616569,14.069965604889076,14.248886333359932
2020-10-01,13.1,12.898996998140817,12.867902180510637,12.343919394416984
2020-11-01,13.0,12.521062137118282,12.57106583847976,12.432751773722158
2020-12-01,12.6,13.03711649855462,13.0654596370516,13.220224088409324
2021-01-01,12.3,12.954919247688432,12.966628401934168,12.91159689937604
2021-02-01,13.2,12.626791291997533,12.57067075637579,12.41354981781116
2021-03-01,12.9,12.26554125210862,12.275031396166776,12.151199762104383
2021-04-01,13.3,12.33075815837957,13.161244174086736,13.415464307553467
2021-05-01,13.4,11.834824608146732,12.864222983761046,12.774020388046967
2021-06-01,11.0,11.97508294713827,13.26026047912401,13.333749633243285
2021-07-01,11.6,11.938608589938864,13.360020215596764,13.36589357061808
2021-08-01,12.0,10.39523008659674,11.0015405668212,10.49990254462591
2021-09-01,11.3,11.03575427727783,11.578325539166151,11.593628166653597
2021-10-01,11.0,11.209179370949627,11.964082918706588,11.977974097647342
2021-11-01,11.2,10.47887275101033,11.289364227095833,11.27026952638843
2021-12-01,11.0,10.112572960852294,11.00156922258493,10.989624990089746
2022-01-01,11.3,10.22508865572099,11.193386519771742,11.199249084875188
2022-02-01,10.6,10.138026324968086,11.001589870420329,10.994754006179512
2022-03-01,11.2,11.13449635264725,11.289240914411014,11.296737857662372
2022-04-01,10.8,10.629348811060805,10.618492472693667,10.60721377119414
2022-05-01,10.8,11.120687218533416,11.19261585855842,11.188747028311194
2022-06-01,10.2,10.832645889199794,10.809972610917155,10.81740447170742
2022-07-01,10.2,10.716620719516222,10.809926702354296,10.809922645154629
2022-08-01,9.8,10.1598045715534,10.23616585339326,10.246378514161975
2022-09-01,10.1,10.266489245481424,10.235944620321437,10.235291080519405
2022-10-01,10.3,9.907027544199034,9.852421551254984,9.858269466099811
2022-11-01,10.1,10.24439525423272,10.139991292548936,10.132163873308471
2022-12-01,10.4,10.437720342255556,10.33122001982758,10.326652517210755
2023-01-01,9.7,10.185589787116497,10.139673467619843,10.143055910288702
2023-02-01,10.0,10.365048515654417,10.426613538783212,10.418667250932666
2023-03-01,10.1,9.76252684537404,9.756967872049124,9.778487645501462
2023-04-01,10.1,9.92812326693974,10.044283332022603,10.029372807403217
2023-05-01,9.5,10.029861512894945,10.139694197147293,10.13374439548705
2023-06-01,9.3,10.079975305429162,10.139522270506248,10.137544294120312
2023-07-01,9.4,9.39471848674036,9.564745334548473,9.58569768035504
2023-08-01,9.2,9.380736379536936,9.37164682833608,9.37497783105666
2023-09-01,9.0,9.483847435175909,9.467429441345091,9.460465463537547
2023-10-01,8.5,9.316964179600545,9.274031643651083,9.277281600281356
2023-11-01,8.9,9.064379303691483,9.07990932005982,9.082523026462816
2023-12-01,8.9,8.521016146851219,8.593214211888558,8.603827035652461
2024-01-01,9.2,8.928878483969804,8.9824460995798,8.962388409475222
2024-02-01,8.6,9.04695754081217,8.9815610816266,8.976605003892029
2024-03-01,8.8,9.272317518999872,9.271476421312816,9.256258085793602
2024-04-01,8.6,8.81213670325509,8.690007058341411,8.710999644933775
2024-05-01,8.4,9.036948914227446,8.88377384366396,8.867080774560577
2024-06-01,9.1,8.73461534962673,8.688338512857696,8.69098587649174
2024-07-01,9.0,8.659885333488981,8.492040484062986,8.494012651016096
2024-08-01,8.5,9.143740427758395,9.171925713671389,9.129530528143798
2024-09-01,8.6,8.983388208669757,9.07453592159041,9.074041893957814
2024-10-01,8.7,8.603274677250134,8.590521836379908,8.609774016097466
2024-11-01,8.4,8.656300246265706,8.68701239195412,8.673230177579972
2024-12-01,8.7,8.774389120128586,8.783334518558322,8.770150890282682
2025-01-01,8.5,8.440555687948283,8.490365973165652,8.498637611621305
2025-02-01,8.2,8.674709447664577,8.782106137538493,8.755144952707028
2025-03-01,8.0,8.444172343192005,8.58663219415793,8.588599093246987
2025-04-01,8.6,8.201196347340245,8.292557150647319,8.30074157050782
2025-05-01,8.4,8.064588922457128,8.095018925146963,8.096403553952243
2025-06-01,8.5,8.731024945413544,8.682459988120645,8.63708469679259
2025-07-01,8.1,8.458799223966263,8.485544119088097,8.489456868014866
2025-08-01,8.5,8.583864031331487,8.582807795506016,8.567372292168404
2025-09-01,8.6,8.252155636904345,8.191904782400595,8.206328411907332
2025-10-01,8.5,8.487794930249631,8.582427591837211,8.543670583890295
2025-11-01,8.6,8.599385570295544,8.679467332472017,8.662726095761402
2025-12-01,7.9,8.570357252870453,8.581321605166414,8.579341633614002
