Tarih,actual,frozen PLS1   p3 K0,frozen PLS1   p3 K2,recursive PLS1 p3 K0,recursive PLS1 p3 K1,recursive PLS1 p3 K2,recursive PLS1 p2 K2,recursive PLS1+2 p3 K2
2018-01-01,9.8,9.990581820190824,9.952590369015285,9.98858248931116,9.958713636841855,9.948499085577055,9.940708653824757,9.928311966600212
2018-02-01,10.0,9.577057490226668,9.606341351444826,9.577057490226668,9.61195129852763,9.606341351444824,9.624841307387456,9.603757873903715
2018-03-01,10.0,9.566433311280656,9.543059332231522,9.566734578405981,9.525483073495195,9.543047673253994,9.586996499780065,9.62349277333908
2018-04-01,10.2,9.953093805845594,9.861076494055055,9.956884073576779,9.885846601459404,9.86660706143718,9.884201159936977,9.913737494773828
2018-05-01,10.6,10.048171114327555,9.997239657749656,10.055755419257457,10.04244742196968,10.00553798475788,9.942447256134578,9.986538137165244
2018-06-01,10.7,10.216707416359347,10.198691955028917,10.217590911940157,10.20623278200285,10.20165600788424,10.197792267651545,10.148826879652505
2018-07-01,10.8,10.727936087620668,10.70431217892531,10.73504784551233,10.707671982047646,10.706933815514848,10.641513626145466,10.641352849816373
2018-08-01,11.2,10.781523869499356,10.787296422221543,10.7849510542642,10.792235678168115,10.791912553487515,10.640653621648942,10.708747002891842
2018-09-01,11.5,11.001183274462853,10.96321871907286,11.010900707999102,10.965524637550196,10.965474779833563,10.9965164950706,10.746544328243976
2018-10-01,11.6,11.37976724365944,11.40552176631546,11.379170779080761,11.39783600406101,11.40377971703467,11.40120413701333,11.205254963145123
2018-11-01,12.2,11.784088448909074,11.775944763627315,11.804364489524037,11.803917453900473,11.796076208840654,11.696120766644366,11.723670344006152
2018-12-01,12.7,11.974045154276055,11.98493017805501,12.010779732518577,12.006888477437046,12.013388061030419,12.008517894214684,11.93005775420564
2019-01-01,13.6,12.60436383122583,12.620180403989256,12.674204419393687,12.675775317082067,12.677804828861685,12.771952747529433,12.587048562175355
2019-02-01,13.8,13.208308882202166,13.186914913494864,13.307416965574992,13.306474387613083,13.301568853330053,13.174029550529704,13.289323320807092
2019-03-01,13.9,14.029015526995385,13.945457462907456,14.06071624256725,14.064744468715078,14.026454889686573,13.895915392013277,13.977834677230977
2019-04-01,13.8,14.16719465627684,14.140492652043587,14.134330233047795,14.132257949756676,14.10890947884582,13.819196763257057,14.130048507896046
2019-05-01,13.7,13.967351051019655,13.985223921880959,14.004213134440109,13.997521560428702,13.994860455938792,13.978866863482361,14.014533103813157
2019-06-01,13.7,13.734707716982347,13.795039483637712,13.87128882356203,13.869658566936314,13.902395481255883,13.931320402426802,13.904758246556838
2019-07-01,13.9,13.392537219755535,13.406579531279556,13.474089971778605,13.484683667683012,13.491104480504303,13.576515312598817,13.464886612421578
2019-08-01,14.1,13.323410242133793,13.293570886824954,13.305851341339055,13.308681535951973,13.28129905207057,13.366822799025755,13.197295852659938
2019-09-01,14.1,13.549276960594291,13.53083217806368,13.4171161049525,13.400452742818407,13.38917651952062,13.395079170873878,13.393042553906334
2019-10-01,13.5,13.84305533461831,13.837630852309712,13.751907547951268,13.704866247298755,13.709056270914743,13.637729772362762,13.753816738873294
2019-11-01,13.3,13.78306424405009,13.80945755115806,13.708646991782748,13.691687900893834,13.706645819646146,13.60472998380631,13.65968014563797
2019-12-01,13.4,12.699588811185286,12.723947740737819,12.67796939061715,12.677386918999755,12.683380514801556,12.627375151213487,12.670605074170084
2020-01-01,13.0,12.261497318883205,12.232863391697837,12.202159991690369,12.184131949807508,12.183368880919964,12.276943361214322,12.15876646728722
2020-02-01,12.6,12.73612817506526,12.686279321037995,12.602935867140811,12.549136928739937,12.551867070000062,12.559652872261571,12.461802215783525
2020-03-01,13.0,12.976137550846676,12.968480479033314,13.381819424117984,13.285790603827605,13.322602769455827,13.337703882539167,13.241237628568655
2020-04-01,13.5,13.333589176730529,13.337244823997544,14.771800583316624,14.636946570756123,14.772494102358465,15.089193744387291,14.259745201400538
2020-05-01,13.6,13.270536526916883,13.466417356251362,13.48685098319072,13.707485208013999,13.71211726057417,13.865181489757022,13.255341226247786
2020-06-01,13.7,13.787791376603645,13.659632870553025,13.471859349150824,13.455755666040341,13.324959531206046,13.329336057640269,13.30425040946552
2020-07-01,14.1,13.704082363892894,13.691350294939783,13.470375266529215,13.457749729990287,13.46616590457521,13.378604169159468,13.361560075390384
2020-08-01,12.9,13.710189433507777,13.692531592976636,13.640012444420835,13.59282719339941,13.598296396669525,13.594411781780286,13.497690005125358
2020-09-01,12.6,13.80396521918679,13.842095866327098,13.854737319760353,13.864158467402941,13.89763140575263,13.861355299726,13.810161603899354
2020-10-01,13.1,12.353807129759165,12.353444700772084,12.34010041635471,12.384272682922123,12.36898745279231,12.218758031695927,12.334698101094911
2020-11-01,13.0,11.881224056592288,11.852391488248568,12.004002350096782,11.972088463364267,11.96960219221169,12.277413269217345,11.927950099966298
2020-12-01,12.6,12.767190757202286,12.703114422298857,12.9506004938603,12.892348884017418,12.89342034626978,13.040731869126573,12.597985979224536
2021-01-01,12.3,12.857953711794384,12.86055084651037,13.118870922251526,13.11520048862412,13.108809582517702,13.006707105583681,12.756187977801401
2021-02-01,13.2,12.447183665439727,12.45246751238386,12.54615222502989,12.57341692002765,12.572847167675754,12.585137492957967,12.39695462731329
2021-03-01,12.9,11.740296564194205,11.78959195384104,11.61922374306691,11.70119218291639,11.705140081742451,11.757252381469899,11.377471582811106
2021-04-01,13.3,11.470678917922749,11.510850330845411,11.945895168593863,11.963180993841508,11.981118554306056,12.079819541688417,11.324327916129375
2021-05-01,13.4,11.932065113751436,11.643029366726724,12.476759314751355,12.328739090026696,12.315156838975978,12.190734558540697,11.465776328934108
2021-06-01,11.0,12.953146559712883,12.635838258296149,13.115079754136657,13.123252913952344,13.177357205562014,13.22142936032309,12.725969001518054
2021-07-01,11.6,13.265910095357361,13.190993396306917,13.37030607677992,13.381783204578914,13.421808897218359,13.33309264206703,13.403310851191359
2021-08-01,12.0,10.917134724738212,10.826009053325262,11.044942911733205,11.063488131782556,11.067710165822433,10.923289442449661,11.378434260925363
2021-09-01,11.3,11.109310409839189,11.269263208869356,11.103758704327499,11.06927056272658,11.097247582970368,11.685944522815982,11.532538856504264
2021-10-01,11.0,11.896824524942915,11.713820124136149,12.025506787504618,12.055710453119701,12.055309943271189,11.914133445723483,12.015443562756886
2021-11-01,11.2,11.383339022082136,11.364707381425703,11.461042342922536,11.473378321491577,11.481744755480289,11.418495340303366,11.599394917018262
2021-12-01,11.0,10.864342471754782,10.924960761966311,10.896179301592,10.906674721359169,10.91041871758269,11.024210583173996,11.115003444069195
2022-01-01,11.3,11.139987070509553,11.082410982936256,11.133245160552338,11.121027463271483,11.125571588065295,11.186349670477355,11.224698210873417
2022-02-01,10.6,11.136460608581222,10.984141539890864,11.123605185908941,11.121798886765777,11.11800359451903,11.085215472728391,11.238597496152693
2022-03-01,11.2,11.272438287156302,11.24456746144465,11.41258440325413,11.392183053030937,11.390425007409226,11.43066136824795,11.512988480076963
2022-04-01,10.8,10.82798747693749,10.914960202912456,10.930300847801899,10.951485436981644,10.939445877357933,10.886692449962625,11.084887666729777
2022-05-01,10.8,11.080157785900814,11.130826154209423,11.114549343643478,11.12001506523824,11.13373943916492,11.248566928629103,11.289314293035774
2022-06-01,10.2,10.903506994449344,10.93076618405363,11.062130237106434,11.071822840664971,11.077313096371128,11.004012274451686,11.118698837389651
2022-07-01,10.2,10.711052725721235,10.826152677302392,10.90753462127476,10.904017755532477,10.90692004587322,10.979379099332142,10.921176491445994
2022-08-01,9.8,10.328508283357905,10.382489805478802,10.387430633321936,10.408458745636773,10.408401346057882,10.409962155200652,10.383642281663363
2022-09-01,10.1,10.21866271938369,10.23295806839468,10.26632116917792,10.263152163931426,10.270412457479956,10.378022576990443,10.218386590451104
2022-10-01,10.3,10.031714518445037,10.037795012004215,10.143211229074316,10.138691557082723,10.137315200811262,10.148695917204988,10.061486615842892
2022-11-01,10.1,10.24805462860381,10.23641025124137,10.320992783651759,10.322120407483023,10.319193359581918,10.378053759119524,10.258718146499463
2022-12-01,10.4,10.546732655710255,10.523078447783092,10.635165373326359,10.639489691523346,10.640319419917475,10.600042928369877,10.596150796355108
2023-01-01,9.7,10.333958601327176,10.441598439356575,10.364805800152972,10.379057693857645,10.382124879977427,10.352025945611558,10.460509318952822
2023-02-01,10.0,10.325814389826824,10.525735974232422,10.50551922219073,10.508087123530665,10.520447827912013,10.567192557851484,10.522821608210448
2023-03-01,10.1,9.91934857148624,10.086091709619765,9.859798656495226,9.85652437013255,9.859793125445902,9.814269595405674,9.873692159296027
2023-04-01,10.1,9.956953614731486,9.97855925047312,9.967141088603118,9.968963652035658,9.973931728928155,10.107821125689519,9.896477375080622
2023-05-01,9.5,10.219354415464977,10.19542133629885,10.339577918010185,10.33609155384466,10.32954182724015,10.273680083872964,10.184264180801994
2023-06-01,9.3,10.11746231185855,10.126617098276453,10.216900239844833,10.222049300197643,10.215434892454505,10.189938750238323,10.103043573113862
2023-07-01,9.4,9.69715070650445,9.81981868832782,9.722341253716213,9.725263757175115,9.746916948062117,9.763312666668703,9.72187082039808
2023-08-01,9.2,9.401378191327135,9.4645147810445,9.41754176457399,9.41683899137362,9.422838433149934,9.506622404091978,9.39717323654558
2023-09-01,9.0,9.461740119621687,9.516336413637218,9.486774585954397,9.484603741733613,9.489735405554793,9.514430466912206,9.398109453328413
2023-10-01,8.5,9.277933410824973,9.33668003513583,9.37098426327646,9.370335100733055,9.381951238413336,9.371062393931936,9.263635986576723
2023-11-01,8.9,9.013090177961669,9.11905612447838,9.07704177442142,9.073949982599633,9.079250575370173,9.10441904241133,8.980272005889919
2023-12-01,8.9,8.526656624655955,8.625930815392897,8.60364923445725,8.600210668530384,8.609667334744504,8.641114049132653,8.51490702972337
2024-01-01,9.2,8.78392523344857,8.809531996345715,8.899244509628657,8.90440981791904,8.909426645932314,8.972480809403589,8.714862312839376
2024-02-01,8.6,9.09741567206956,8.959870066881455,9.170986386430496,9.173960219869626,9.162203471069661,9.106193098000272,8.946448262255666
2024-03-01,8.8,9.046225033157802,8.973601738313224,9.2153849156981,9.207208782508115,9.193754485058786,9.175390821477427,8.971182468429717
2024-04-01,8.6,8.770191562200264,8.927806809844446,8.838301201039803,8.838627938068825,8.865450729675294,8.842065904731738,8.941277429632379
2024-05-01,8.4,8.928359065246514,8.818537256097684,8.817317025935349,8.816453815564376,8.808977696052763,8.862188992750575,8.729126590801778
2024-06-01,9.1,8.750559967111448,8.717842150669032,8.781565575424347,8.781381845626246,8.7862565863492,8.766486718695909,8.694335114134947
2024-07-01,9.0,8.608496243311839,8.739957743952985,8.57550006725022,8.57545427479155,8.574793734738297,8.594396019949986,8.643986324398849
2024-08-01,8.5,9.074668855966292,9.073080719335836,9.14991699489762,9.149857381329545,9.152743669051887,9.165347371496482,9.007736244291234
2024-09-01,8.6,9.242117902467966,9.250154926393218,9.31626840743072,9.316152087748849,9.308908901296565,9.234389654701035,9.263013825643084
2024-10-01,8.7,8.772683318540864,8.821478110846083,8.794401034703725,8.79648805756973,8.79012875083891,8.802132552874951,8.72423391589124
2024-11-01,8.4,8.783449357768431,8.906166901168026,8.715134991745181,8.717567398787562,8.744368711606862,8.787177365743105,8.727312392168823
2024-12-01,8.7,8.896240515909192,8.937427337695617,8.895425005390736,8.895596841105101,8.922376533457294,8.915318420029296,8.877566733400833
2025-01-01,8.5,8.62692631298876,8.744513942651015,8.597251503937688,8.602526201271004,8.602181986356193,8.588846753348495,8.569198653320242
