date,PLS1,PLS2,PLS3,PLS4,PLS5
2011-01-01,-1.4017121570882167,-0.5115395108440006,1.1960367496859199,1.455247165335377,0.9823348355904494
2011-02-01,-2.881198663254693,-0.30101607345486686,2.7495341567899265,0.8725547890015545,-0.33678223973530835
2011-03-01,-3.2715880173573515,-0.8452246353460029,1.027430942337094,0.5157095811630056,0.8849827973351004
2011-04-01,-2.536398381803376,-0.7162396884202897,1.3211818504764548,-0.3122055712720244,0.8807055564357507
2011-05-01,-2.5013071416543173,-0.7747988686288163,1.2481168307233144,-0.12675644956258267,0.6603472716797937
2011-06-01,-0.5694532662301952,-1.4944885121929041,0.1789242997348164,0.722640359788549,0.5294813937723681
2011-07-01,-2.07358373934994,-1.880696570760505,0.18951100557936917,1.1499609148067682,0.20096336962975492
2011-08-01,-1.4671762134659945,1.5086863406646331,0.04516075533842881,1.3572778999270074,-0.6366338148202999
2011-09-01,-1.2499468527239677,0.5258033525560111,1.4152940179967801,0.4625010263445931,-0.39303001813433186
2011-10-01,-2.996069535679217,-0.43536181501399945,-0.5873278422202044,-0.20132510624588607,0.05691028756200023
2011-11-01,-3.1819327133939606,0.6487412334876881,-0.7336458345878124,-0.9831300830128767,1.261334568606216
2011-12-01,-4.436152681075975,-0.05825380994425108,-0.4232403507664929,-1.0633088806583688,1.135083712607707
2012-01-01,-6.213954296652372,1.0331536537076111,-1.4881179519998977,-0.8940019253566741,-1.8920414449225214
2012-02-01,-3.8663738974411928,0.6185300309646588,-2.694189594596854,-1.1772692923566304,-0.2499627252123145
2012-03-01,-3.75715547604906,0.8257975280654108,-0.3987151274666554,-1.3215402564671215,0.3484067508141917
2012-04-01,-3.4463804158418783,0.8665660954174342,-0.4947727221563556,-0.626103821357707,0.12390988454732323
2012-05-01,-2.8568234811098376,0.8919365954027277,-0.2605766817076429,-1.2831535130500933,0.3903062084775744
2012-06-01,-3.1973112343658583,0.7148394499500115,-1.0316860906789869,-1.1660037490750992,-0.7361068289853319
2012-07-01,-2.4130924372703326,1.4734092253756041,-0.4126295996843279,-1.420033169504302,-0.1213597757405446
2012-08-01,-3.7242916071450134,-0.2773189467504959,-0.23370964316267764,-1.088520965771843,0.8286991462475592
2012-09-01,-2.0446150676645654,-0.6152464702769022,-1.652377236852286,-0.6469958918332389,0.5027439739660735
2012-10-01,-2.0274210089019378,0.27369070999920475,-0.11030430097942884,0.4597045907312173,0.30377116152543043
2012-11-01,1.1742277652442166,0.3703312581850967,1.7160873369889018,0.15716535779762988,-0.1126200485335738
2012-12-01,0.7876491822515733,0.4409396641422615,2.1361137217362107,0.7447803185179297,-0.26013011810836084
2013-01-01,1.158995849012679,0.7724695231076929,3.0822214816804285,-0.6660046485888901,1.492819210069289
2013-02-01,-0.5355241682854135,0.8417721319188438,1.464024899775072,0.3674698095555226,1.8497603378609648
2013-03-01,-0.35349911914854343,0.6354649053042677,0.9637514912399562,0.9559373461738927,0.19709958076479425
2013-04-01,0.8711699425999636,1.6684416002992881,1.3726327677977477,0.02701419346664935,1.2878850345729802
2013-05-01,0.34866799410182103,2.179418982335092,0.5101913638309998,2.2844684086547327,-0.40850846423062215
2013-06-01,-0.7787984716988678,1.5168741162799906,0.8284675208768064,1.6108951618363896,0.596851135157077
2013-07-01,0.26050503154720367,1.3914880833102796,0.3993563646604411,0.7784214585770426,1.0112465481869783
2013-08-01,0.5947149659160383,0.908091878651879,1.125447262440381,0.9133887384200617,-0.4565734498264335
2013-09-01,-0.2691649650764278,2.4596945963243666,1.228515103094488,0.8521774289345304,-0.40129160690060817
2013-10-01,0.2565241621087698,0.8730917754393097,-0.06039934338342335,1.6987951470239508,-0.9309886839951941
2013-11-01,0.20558197870938036,1.9058990770673354,-0.6072420787874594,1.2594476819652232,-0.05969598130733913
2013-12-01,-0.8011963826474876,0.8305683787353788,-0.6768044685612572,-0.3217772281428157,-0.7414790691291406
2014-01-01,0.03540341102505877,0.5822042743550084,-1.0399693388546294,0.41729359049846915,-0.42630715864635205
2014-02-01,1.0081323948529894,0.8775795074717877,-0.31688639129809404,-0.5357981277680693,-1.4206278324783956
2014-03-01,-0.5718634827088721,-0.2818450647780897,-0.12529134959323615,-0.866988181617227,0.05200485282670586
2014-04-01,-0.036900917772638125,-1.4439282138047318,-0.8637968611751343,-0.018205456423461608,-1.0271316533124932
2014-05-01,0.3742001379133544,-1.5974411624342406,-0.05015984454107604,-1.7020917632038197,0.9253080529545381
2014-06-01,0.7276918853713298,-0.7448713596086155,0.12670949116672942,-0.5929832075791492,-0.6789457197433127
2014-07-01,-0.3682766722800491,-1.4748829272818744,-0.4412468193159119,-0.31011513143341535,0.039439068119756046
2014-08-01,0.9110629402113425,-0.9272626388849542,0.3007118896187724,-0.7440122501065829,0.6196407896457721
2014-09-01,0.35609967364496375,-1.1407186340205127,0.08617212795460089,-1.451009809275162,0.6691692233282811
2014-10-01,1.1643412210773025,-1.508749707704849,-0.23645694629255457,-1.193623681858388,0.9857176060705297
2014-11-01,1.1100435437529796,-1.8427499466603727,0.4255946821499413,-0.27004734832385996,-0.6380185896931667
