date,p_informative
2011-01-01,0.0054222045269977665
2011-02-01,0.0011465660891336904
2011-03-01,0.0019282712036117907
2011-04-01,0.000734238777972906
2011-05-01,0.0005663304820043483
2011-06-01,0.00010685715071601195
2011-07-01,0.0003469993486935598
2011-08-01,0.0004800703228113119
2011-09-01,0.0003596245368559871
2011-10-01,0.0034868073935101314
2011-11-01,0.003827179068720748
2011-12-01,0.0025502787879875923
2012-01-01,6.562272438370552e-05
2012-02-01,1.9217047308489712e-05
2012-03-01,0.0006206247010604335
2012-04-01,0.0018482155419163667
2012-05-01,0.002298294135931804
2012-06-01,0.000992963082337888
2012-07-01,0.001391401170858861
2012-08-01,0.0010133540985352548
2012-09-01,0.001792072794205762
2012-10-01,0.005628505102597807
2012-11-01,0.003953130233373368
2012-12-01,0.012742234507807768
2013-01-01,0.021721935836457734
2013-02-01,0.25747927100477996
2013-03-01,0.7068260921501417
2013-04-01,0.9553346562965228
2013-05-01,0.993387966445737
2013-06-01,0.9988724870287795
2013-07-01,0.9998173944060513
2013-08-01,0.9995027099641686
2013-09-01,0.9996536384133837
2013-10-01,0.9997211305405438
2013-11-01,0.9997644698141267
2013-12-01,0.9995667788930227
2014-01-01,0.999723492904685
2014-02-01,0.9998622819562991
2014-03-01,0.9998963582763908
2014-04-01,0.9998825122897221
2014-05-01,0.9998839541292596
2014-06-01,0.9998904909263514
2014-07-01,0.9999015880227934
2014-08-01,0.9999525365962556
2014-09-01,0.9999436189240368
2014-10-01,0.999971139135679
2014-11-01,0.9999792027418246
2014-12-01,0.9999722186864146
2015-01-01,0.9999689192362802
2015-02-01,0.9999198129667864
2015-03-01,0.9995759776640211
2015-04-01,0.9978782581110334
2015-05-01,0.9805636423405649
2015-06-01,0.9082096493603639
2015-07-01,0.7756332615828329
2015-08-01,0.6506533035238372
2015-09-01,0.5427745672092702
2015-10-01,0.30317542139243436
2015-11-01,0.06825778555480669
2015-12-01,0.022980416581151103
2016-01-01,0.004550458679267346
2016-02-01,0.0008815535087163017
2016-03-01,0.00394420311396909
2016-04-01,0.03999090843282518
2016-05-01,0.2477446984948602
2016-06-01,0.7010153814024009
2016-07-01,0.9866939377578334
2016-08-01,0.9990297283315468
2016-09-01,0.9999490409605545
2016-10-01,0.999485752858516
2016-11-01,0.9999716356746705
2016-12-01,0.9999918416073396
2017-01-01,0.9999955114317375
2017-02-01,0.9999949893673173
2017-03-01,0.999992844600631
2017-04-01,0.9998325971435429
2017-05-01,0.9833093359646716
2017-06-01,0.7681699117787127
2017-07-01,0.000551358376447441
2017-08-01,0.00037657567289985566
2017-09-01,4.994641958335099e-09
2017-10-01,0.00025454240779149633
2017-11-01,5.587884734711891e-07
2017-12-01,2.5951821131752682e-08
2018-01-01,6.052283865545195e-08
2018-02-01,0.0002959462528312352
2018-03-01,4.963138842008143e-05
2018-04-01,4.213018324965199e-05
2018-05-01,2.3986180290381742e-05
2018-06-01,0.0018885553909879006
2018-07-01,0.14479356269357802
2018-08-01,0.9042506324360933
2018-09-01,0.9972212233242501
2018-10-01,0.9997923047821025
2018-11-01,0.99999846186883
2018-12-01,0.9999999532771939
2019-01-01,0.999999999874383
2019-02-01,0.9999999998736137
2019-03-01,0.9999999997638875
2019-04-01,0.9999999994094221
2019-05-01,0.9999999888152917
2019-06-01,0.9999990934944114
2019-07-01,0.9999999488769511
2019-08-01,0.9999999648435131
2019-09-01,0.999999857415404
2019-10-01,0.9999945663424734
2019-11-01,0.9990952109619138
2019-12-01,0.9717273906356683
2020-01-01,0.6824225688223893
2020-02-01,0.35019760176715864
2020-03-01,0.1452358694612379
2020-04-01,6.802698529929589e-25
2020-05-01,4.248940816321989e-22
2020-06-01,6.252468588972221e-22
2020-07-01,2.1666644355571754e-12
2020-08-01,8.992330411376854e-11
2020-09-01,1.1289368968244721e-06
2020-10-01,4.854716651335215e-05
2020-11-01,0.0010894177487103887
2020-12-01,2.968853546818454e-05
2021-01-01,8.603669820085359e-06
2021-02-01,0.0012916114467490768
