,rmse_full
VPC3 AR1 cov,0.5355181246437124
VPC3 AR1 nocov,0.5610269804615223
VPC4 AR1 cov,0.563604247280775
VPC1 AR1 cov,0.5723492504401259
VPC4 AR1 nocov,0.5802826133414823
AR(1) benchmark,0.5863785243895558
VPC1 AR1 nocov,0.5878844008944811
VPC2 AR1 nocov,0.5886276398798594
AR(2) benchmark,0.6063439540090085
VPC2 AR1 cov,0.7102548855675722
