Tarih,actual,rolling_nolasso,AR1,B5_LASSO
2018-01-01,9.8,,10.114434740322814,10.219349425496691
2018-02-01,10.0,,9.918132778741294,9.943877134644424
2018-03-01,10.0,,9.819870318233914,9.860699595205013
2018-04-01,10.2,,10.016114862069928,10.053054830544584
2018-05-01,10.6,,10.01603774111846,10.04720750628969
2018-06-01,10.7,,10.212154009646628,10.175072896050544
2018-07-01,10.8,,10.603921437523203,10.571328842699636
2018-08-01,11.2,,10.701914822935343,10.755784298762146
2018-09-01,11.5,,10.799973696751492,10.932677409714309
2018-10-01,11.6,,11.192358204951278,11.3262922417482
2018-11-01,12.2,,11.487636847515247,11.616605164676567
2018-12-01,12.7,,11.586405278635471,11.79423697762734
2019-01-01,13.6,12.39623164221205,12.17888634000425,12.491676442445652
2019-02-01,13.8,12.879292670071155,12.67535171657197,12.967823338565957
2019-03-01,13.9,14.056930346138865,13.570498264630857,13.767226352129745
2019-04-01,13.8,13.844282355163354,13.771081711747687,14.016890605026957
2019-05-01,13.7,13.89160727661781,13.871635666102303,14.109855384031828
2019-06-01,13.7,13.681717571997329,13.771842210771585,13.913195982604709
2019-07-01,13.9,13.582358028243323,13.672035526772293,13.789116205037969
2019-08-01,14.1,13.639815376470532,13.672532925933364,13.7617085263668
2019-09-01,14.1,13.951111852763326,13.872855266829593,13.891556506707715
2019-10-01,13.5,14.153878382839268,14.073301869805324,14.074500055714822
2019-11-01,13.3,14.0450212488804,14.07362211963407,14.06134672487961
2019-12-01,13.4,13.1033106642864,13.471959207165114,13.409534113554834
2020-01-01,13.0,13.132904458538096,13.272644941577775,13.145046081795815
2020-02-01,12.6,13.396837690705905,13.398835474271577,13.23739606582695
2020-03-01,13.0,12.736218274854608,12.973683782867802,13.0153163932831
2020-04-01,13.5,12.330371896449018,12.575967115885836,12.974385915889677
2020-05-01,13.6,13.140959872089637,12.972768973267677,13.433342208592933
2020-06-01,13.7,13.70022156842031,13.497764148457197,13.610709402718683
2020-07-01,14.1,13.59169771923282,13.599359885335526,13.484862355906513
2020-08-01,12.9,13.69259541933944,13.670399840494106,13.531184048507924
2020-09-01,12.6,14.248886333359932,14.069965604889076,13.9328131123199
2020-10-01,13.1,12.343919394416984,12.867902180510637,12.688644158632105
2020-11-01,13.0,12.432751773722158,12.57106583847976,12.40788342977228
2020-12-01,12.6,13.220224088409324,13.0654596370516,12.959064678231158
2021-01-01,12.3,12.701769293402542,12.966628401934168,12.892017088669864
2021-02-01,13.2,12.356700041400313,12.57067075637579,12.524593773282604
2021-03-01,12.9,12.164662860400913,12.275031396166776,12.116029583843996
2021-04-01,13.3,12.571992572017045,13.161244174086736,12.442459348333312
2021-05-01,13.4,12.080284734442364,12.864222983761046,12.06660293246084
2021-06-01,11.0,12.50587196562653,13.26026047912401,12.510134308317756
2021-07-01,11.6,12.782325076998411,13.360020215596764,12.477107385873008
2021-08-01,12.0,11.12803431322883,11.0015405668212,10.93137684861216
2021-09-01,11.3,11.671042770894655,11.578325539166151,11.507192973888284
2021-10-01,11.0,11.73294000176184,11.964082918706588,11.517555164952148
2021-11-01,11.2,10.99918595948554,11.289364227095833,10.758546074493832
2021-12-01,11.0,10.639519858526013,11.00156922258493,10.301000004561228
2022-01-01,11.3,10.791270097130322,11.193386519771742,10.44182979213056
2022-02-01,10.6,10.62407185154675,11.001589870420329,10.37283683868643
2022-03-01,11.2,11.25866482235635,11.289240914411014,11.326647281089834
2022-04-01,10.8,10.613361365159033,10.618492472693667,10.728692330742884
2022-05-01,10.8,11.165355262432909,11.19261585855842,11.210774785400778
2022-06-01,10.2,10.822139224105815,10.809972610917155,10.815920030452936
2022-07-01,10.2,10.89475355263703,10.809926702354296,10.809094619092829
2022-08-01,9.8,10.243022847393066,10.23616585339326,10.22411333158736
2022-09-01,10.1,10.270103206115353,10.235944620321437,10.277992967263282
2022-10-01,10.3,9.980890532722032,9.852421551254984,9.927037664922008
2022-11-01,10.1,10.273481172339135,10.139991292548936,10.246160491650658
2022-12-01,10.4,10.388923404164728,10.33122001982758,10.428075059359427
2023-01-01,9.7,10.185180685540674,10.139673467619843,10.248050055555966
2023-02-01,10.0,10.364755046731672,10.426613538783212,10.399280625459586
2023-03-01,10.1,9.761968456066914,9.756967872049124,9.70359546929206
2023-04-01,10.1,9.927627799109668,10.044283332022603,9.96644194298203
2023-05-01,9.5,10.02955992536557,10.139694197147293,10.03667873382103
2023-06-01,9.3,10.079732663599964,10.139522270506248,10.138196560886689
2023-07-01,9.4,9.394388981587541,9.564745334548473,9.509852255517872
2023-08-01,9.2,9.38043727515058,9.37164682833608,9.396418711252656
2023-09-01,9.0,9.48359418582852,9.467429441345091,9.412836741513852
2023-10-01,8.5,9.316794181730716,9.274031643651083,9.27602009462272
2023-11-01,8.9,9.064113070242053,9.07990932005982,9.070160919534844
